"m=2" "m=3" "m=4" "m=5"
"trial1" 131.816171165202 126.977247852312 123.618361892873 123.506160760335
"trial2" 132.065340673593 126.338165032941 123.684176657733 120.689454665848
"trial3" 131.947292637403 126.334087931602 123.584614597596 0.513123881174201
"trial4" 132.367765307031 126.341970718728 123.888495596477 -0.0684096171237864
"trial5" 132.132447749923 126.225243070946 123.788265630385 2.80896949540583
"trial6" 131.871151985546 125.901002452743 123.82721707123 123.188548950808
"trial7" 132.206009231768 126.632278537809 124.133816154198 0.633744588439049
"trial8" 132.36460254918 126.344107962196 123.574221895927 0.092570073620415
"trial9" 132.179176249866 126.113988049173 123.832015950451 124.166935245144
"trial10" 131.730212475142 125.818801277724 -0.274335746364035 0.605426321796431
"trial11" 131.903244438977 126.353878798256 123.478705113593 124.254736118247
"trial12" 131.882051379359 126.543839832464 123.523926995474 122.354395331188
"trial13" 131.679399782251 126.423984031007 123.741710917605 0.18876459687208
"trial14" 131.784874142928 126.290231503211 123.443240307368 122.765953332588
"trial15" 132.152367409816 126.11897493492 123.39476741835 122.701107206486
"trial16" 132.198887771726 126.327359828578 123.723687656328 123.60939016781
"trial17" 132.103662119914 126.750884256207 123.891460567476 -0.212111118946351
"trial18" 132.594447245556 126.342197574654 123.702046273287 122.635325886557
"trial19" 132.351250594992 126.261061646739 123.799504796571 -0.0507936900584492
"trial20" 132.395255611227 126.289163687193 123.355684538902 0.683382796313086
"trial21" 131.983625483117 126.312637617614 123.676035156292 123.01700626422
"trial22" 132.015388715207 126.184550331375 123.595221548975 -0.501325749445369
"trial23" 132.04978283488 126.579030968001 123.941520456305 0.126743765545526
"trial24" 132.15543097163 126.455818638567 123.817175831046 -0.508363227677169
"trial25" 131.946116640004 126.186487743907 5.27902614172952 -0.241231984074378
"trial26" 131.883628397922 1.97630748829908 124.206211017087 0.369238779654545
"trial27" 132.048526554874 126.385726671324 123.632651568407 1.31264214051424
"trial28" 132.026213894473 126.645572395998 123.838874558236 0.0371876825166441
"trial29" 132.354349871116 126.363256550992 123.724060664777 0.10325953466606
"trial30" 131.882400953928 126.187787277574 123.573489337741 -0.383033709266229
"trial31" 131.903043442833 126.708945286254 1.3412877736381 123.213095279519
"trial32" 131.741629696079 126.150752634003 123.645444067272 -0.013010148534661
"trial33" 132.357514656346 126.331097860846 123.451029103791 2.69298785693702
"trial34" 132.089763036048 126.185494154176 124.050483668498 126.033128887814
"trial35" 132.252878414523 126.723619940357 3.1776259978624 -0.285014329773036
"trial36" 131.877055137812 126.577600031437 123.973400026858 -0.054194203026355
"trial37" 132.346866935189 125.749076388767 0.0642461074405942 0.315034360603965
"trial38" 131.632619818728 126.109622570322 123.582353004254 0.286571728705576
"trial39" 131.704219952267 126.94265145214 123.607086982317 0.454095706926688
"trial40" 132.205097909637 126.307087876069 124.038378575415 0.0380231494621031
"trial41" 132.496888825135 126.444096099896 123.92076608228 -0.0175316011091692
"trial42" 131.969415085019 125.976275411462 124.090859426929 1.40098803104446
"trial43" 132.011825629797 126.636898231852 -0.381082543893076 22.1894812368427
"trial44" 131.970908169743 126.187242465276 124.018942872903 123.889110468076
"trial45" 131.751989103527 126.489401408602 124.025425833934 -0.603158489549619
"trial46" 132.025737528473 126.60637791307 123.335960862608 -0.10756986757931
"trial47" 131.896895449209 126.185748238146 124.091931205886 0.139229805169525
"trial48" 131.901987596827 126.798863333201 124.142125452897 124.237320698418
"trial49" 132.333646841711 126.551061143919 1.69671699923735 122.11479743149
"trial50" 132.035605353645 126.428431782908 123.438821537881 3.2698338533532
