"m=2" "m=3" "m=4" "m=5"
"trial1" 121.193244305402 115.65375511802 114.164266375186 0.207902374968482
"trial2" 121.310662233046 116.55205140087 1.85127848930462 -0.0799876495457271
"trial3" 121.483975468952 116.470585171199 0.388696845478203 0.109460627359114
"trial4" 121.550200843881 116.092490296793 113.636781311835 -0.435639048469048
"trial5" 121.037989600752 3.16054525846268 114.591794754095 0.320993347074989
"trial6" 121.328246813038 115.877732250358 114.06241255339 -0.676695573437272
"trial7" 120.5163137924 116.075090068666 114.173960447271 -0.220383027921634
"trial8" 121.214766811328 3.00226222082957 113.845331968782 0.515240880403677
"trial9" 121.530524870356 116.47763643198 1.65792425247193 110.833477176199
"trial10" 121.426089294526 116.294804394724 114.289347759058 0.219117084931365
"trial11" 121.005769472977 116.207684559742 113.438376024554 0.356979321078892
"trial12" 121.602788790846 115.955010614336 114.212156366829 112.935606360247
"trial13" 121.1712892022 116.2183189957 -1.67773992005181 2.90961554835671
"trial14" 120.704327746468 116.004711934768 114.110394525312 -0.910888035928064
"trial15" 121.184278317906 116.479616228974 0.50913404100107 111.761612827633
"trial16" 121.773586424653 116.357444038317 113.953608966937 7.95430152118318
"trial17" 121.457224575388 116.186436017751 113.783491599121 -0.069954884236024
"trial18" 121.073219054281 116.460282211735 4.05400425244244 -0.25689105889742
"trial19" 4.00815960940064 116.353237704207 113.933096244494 3.53730388464318
"trial20" 121.027896716961 116.403978197087 114.206880617134 113.817552387964
"trial21" 121.260550635798 115.939576820511 113.78262994006 -0.130492395704789
"trial22" 121.137904603378 116.09055475441 113.968860160464 -1.44593165241658
"trial23" 121.324055772603 115.860000228343 113.87167064095 1.66860743010151
"trial24" 121.259604447826 116.850666560655 0.0207702163490711 0.0807372098267133
"trial25" 121.65695217392 116.052625441601 114.21524579698 112.288514632705
"trial26" 121.448992633811 116.249760457053 4.02719492681342 -0.282435206534961
"trial27" 121.484841923833 115.89918845119 0.285341477159969 0.495790430069487
"trial28" 121.264933492362 116.436871372648 114.042021227458 -0.379266282442462
"trial29" 120.892128149279 116.179411167447 113.939796915048 -0.38224676377211
"trial30" 120.997549538586 116.161577827384 0.385902252364199 114.298126533429
"trial31" 121.374690128167 116.834523155389 114.433453203087 112.674201974243
"trial32" 121.68569660991 116.932365761792 113.535764089846 -0.0471473250699803
"trial33" 120.816690135723 116.438113481974 0.842656062584395 0.271721441475068
"trial34" 121.384170634218 3.24006570798372 0.0405030542085974 -0.557658112725094
"trial35" 120.857270887302 116.892981444826 114.230116647884 0.110370128081747
"trial36" 121.361771013682 116.229894909675 114.436270010862 1.36954977323197
"trial37" 121.480105288898 116.210514993424 113.869673277639 114.196097557734
"trial38" 121.264835757649 116.446105439083 114.04119006331 -0.00494957362924337
"trial39" 121.227172495336 116.487644155375 0.840446369056173 114.411311011618
"trial40" 121.366233194554 -1.04267218153364 -0.62559586377487 0.051363188597077
"trial41" 121.629772474043 116.411957692604 113.983655069023 113.070244410055
"trial42" 121.168963948354 116.479847062818 115.009826120943 0.0871163374606019
"trial43" 121.503751241581 116.597421998373 -0.230569361869954 0.776264614442368
"trial44" 121.407435818151 116.342041088268 0.967955927194502 -0.29926352925814
"trial45" 120.63273747011 116.204734613042 -0.924848126070903 -0.2804166880185
"trial46" 121.10191280704 116.545502481019 113.937660505414 112.731132795281
"trial47" 120.84075075673 116.496284487325 0.390152429462358 0.078973091964707
"trial48" 121.313928560588 115.737570649947 114.153454906318 -0.227298285721511
"trial49" 121.690837629439 116.169128801549 114.228672233974 -0.166494385438248
"trial50" 120.419649132875 116.203852304016 0.400730392850821 0.692890762545183
