"m=2" "m=3" "m=4" "m=5"
"trial1" -4.88009826205866 -4.64059275120692 -4.48432129651065 -4.47465205649983
"trial2" -4.88725625257721 -4.61224288006284 -4.48517314562947 -4.32481350404143
"trial3" -4.88744375148383 -4.61450473639349 -4.47335785837252 1.7521996397225
"trial4" -4.89503263033602 -4.61690507167643 -4.49317917869997 0.810252916461565
"trial5" -4.88862830228129 -4.60474954150505 -4.49038690478918 0.550223885068364
"trial6" -4.88264591558005 -4.58391586431087 -4.48360038372089 -4.47163437989248
"trial7" -4.8915960422269 -4.62803552952483 -4.49117441985668 1.03386558929807
"trial8" -4.90684548628546 -4.60838725410337 -4.47945042727125 0.341212385043551
"trial9" -4.90261507081442 -4.6114832717609 -4.4811103937749 -4.48952801529933
"trial10" -4.87294908813779 -4.58931105609954 1.55950448440049 -0.0803901488011912
"trial11" -4.88861810298095 -4.6125621403685 -4.46878720838121 -4.47734625525765
"trial12" -4.87239944556393 -4.61855183411731 -4.47187394935638 -4.4102254733395
"trial13" -4.87072644118658 -4.6200192210978 -4.46713336914333 -0.0177037889534164
"trial14" -4.88754656504983 -4.60521035906462 -4.46988285036943 -4.42806989795178
"trial15" -4.88672042449624 -4.59466347515235 -4.47270096105066 -4.39952626807651
"trial16" -4.90569786342733 -4.60963323876848 -4.47533941702636 -4.46830580641068
"trial17" -4.89300348801638 -4.63477867828427 -4.48199354950949 0.497866320953985
"trial18" -4.91343588628053 -4.6091290075485 -4.47245587421352 -4.42142240457577
"trial19" -4.90694979878247 -4.6151391573752 -4.48963413090176 0.804071937017905
"trial20" -4.90878322928543 -4.61466800513149 -4.46367527160241 0.547826439637835
"trial21" -4.8894728174734 -4.60242944160572 -4.47584236435706 -4.43047822782561
"trial22" -4.89008625630978 -4.59892903556501 -4.47488340446469 0.374761373269403
"trial23" -4.89731931985129 -4.61685641524842 -4.49435269616223 -0.0330775442639149
"trial24" -4.90582396933197 -4.60551872404066 -4.48738807549923 1.0075873152958
"trial25" -4.88628700362077 -4.59257442252164 1.21640360812108 0.675766764225844
"trial26" -4.87380663687794 0.901183941471668 -4.50005281576358 0.472861707023649
"trial27" -4.89151107945153 -4.61454143220319 -4.49194002973586 -0.0316802669629642
"trial28" -4.88461241315593 -4.62245561268164 -4.47835392958937 1.86453497405224
"trial29" -4.91056862833141 -4.61237675929892 -4.48803976471117 1.48397074932562
"trial30" -4.87555345782007 -4.60116871707628 -4.46880698365219 2.61837779922893
"trial31" -4.88378553499199 -4.63492309735991 2.09177802480715 -4.44444160583704
"trial32" -4.88184972870609 -4.61264695411051 -4.47686603426803 0.565003176299318
"trial33" -4.91185649232739 -4.60142184933599 -4.46920741444629 0.907934325105049
"trial34" -4.89136808765441 -4.61119898765127 -4.49032029141522 -4.56161349981244
"trial35" -4.8975687110279 -4.62910020245729 0.329450632420264 0.549710115358679
"trial36" -4.88492790318746 -4.63130002871584 -4.48888183999415 -0.0521575723060905
"trial37" -4.90686115109398 -4.58796226285964 0.714917450667215 1.98147450144873
"trial38" -4.87617431074899 -4.60279087202328 -4.46799437813303 0.641489632414113
"trial39" -4.87078434113031 -4.64268014496307 -4.4742120351383 1.80182477173254
"trial40" -4.90196448076756 -4.61307040381189 -4.48861950675616 1.69133214746476
"trial41" -4.91214220918596 -4.61112744096184 -4.48812353527055 1.01787811244977
"trial42" -4.88889371977496 -4.5871854381253 -4.49060626312901 2.83427050712055
"trial43" -4.88791862996518 -4.62662552389698 1.71403198310747 0.150812646733049
"trial44" -4.89170997704738 -4.60942565168017 -4.50210919265072 -4.47186812881533
"trial45" -4.86899975991939 -4.61971428044986 -4.49475226275487 0.599215941884843
"trial46" -4.89875215910756 -4.62186651333798 -4.46444061427409 0.525795591677173
"trial47" -4.87491521573522 -4.60270504477707 -4.50140534097069 2.13179016606916
"trial48" -4.88213538199698 -4.63447786150902 -4.50237278440172 -4.49801449478751
"trial49" -4.8955010331219 -4.62820195258815 1.87984068287907 -4.42346670243757
"trial50" -4.89993275277089 -4.61299838776968 -4.47176797775591 1.15427127703135
