"m=2" "m=3" "m=4" "m=5"
"trial1" 0.359881097369203 1.52614462198103 85.9622118068247 2.0917914980082
"trial2" 0.356548289522499 1.59642702755167 2.08030089929917 2.26199621288257
"trial3" 0.354481771566344 1.57916706435605 2.07720482577404 84.0448786259182
"trial4" 0.36028507881345 1.46442421223429 2.1497478661689 2.28414048132802
"trial5" 0.326123762185344 1.58848507133207 2.00973410687778 85.5616180726879
"trial6" 0.327282164252773 1.41101035170441 2.06316698300636 2.39827982597925
"trial7" 0.322057199649033 1.48479309032334 2.09349863086574 2.17622846434014
"trial8" 0.347348620638785 1.49378671472 2.01198381084615 86.2538528356227
"trial9" 0.328315247884643 1.54030097625096 2.0952457952904 2.3301994178802
"trial10" 0.32498190551751 1.50695395451248 2.06136596206716 88.9054382456923
"trial11" 0.339921902866088 1.46572579523728 2.04561411487013 2.41867474239643
"trial12" 0.352735681406765 1.54352716171671 2.09866705117584 84.3444237504342
"trial13" 0.322509408921708 1.52667686348779 2.05967134657201 2.15305401161477
"trial14" 0.333071917161748 1.60914704962059 2.02689316724143 2.61473606293659
"trial15" 0.330739960225742 1.46839216334539 2.05862274695861 87.6065760000125
"trial16" 0.337872075050103 1.50158291948024 2.18688858501468 91.6462304576222
"trial17" 0.370453435592995 1.46731253007454 2.08996394295723 2.40097226318736
"trial18" 0.342866221209328 1.59184100965225 2.17140755534591 86.0873326657259
"trial19" 0.356677105430381 1.54779566792234 2.07342634703931 85.3423297040453
"trial20" 0.329586374334026 1.53445540755239 2.10524180293468 82.0704519257632
"trial21" 0.328170833367712 1.53299414951107 2.13399150878399 2.12605406716676
"trial22" 0.343903342415928 1.49161273749999 2.01741150251664 84.1444644450246
"trial23" 0.341506027015931 1.54830559697528 2.13996693825688 2.32787195683041
"trial24" 0.338494155105545 1.45299630165251 2.04257306224252 87.535883809738
"trial25" 0.348510940611823 1.44743494671258 2.07128775548279 88.9844703419901
"trial26" 0.330511773211424 1.56694073915248 2.10938342631893 2.26005541728614
"trial27" 0.384631389084367 1.5873417966019 84.1518704643583 2.46112691871061
"trial28" 0.351086100973193 1.54448175708978 2.11186119786931 85.8371930611771
"trial29" 0.32810766829069 1.49219006115446 2.08286104633886 2.03837195575936
"trial30" 0.344378242173378 1.48746330357518 2.02888816068228 2.10534139226455
"trial31" 0.309405010110857 1.47747945547295 2.01619115707285 85.7691811282564
"trial32" 0.34192349428977 1.52088218431923 2.04405392801352 2.62974599693999
"trial33" 0.310923487805795 1.43430489734596 2.14025603870597 85.3435104135747
"trial34" 0.36966164419951 1.47243908223816 2.09519945403183 2.00345734332723
"trial35" 0.312163443209842 1.47059237703287 2.1052857975387 81.984551279565
"trial36" 0.378839226123778 1.50230852172802 2.12800719699073 84.9036184712634
"trial37" 0.355632789695321 1.58178683174964 2.18020894049535 86.3978559574092
"trial38" 0.31757634710719 1.49153504554244 2.05378790286536 2.49010285106889
"trial39" 0.370346196321457 1.55785298904706 2.08402927832878 2.34008402162232
"trial40" 0.377428791154756 1.57518297858658 1.99008530045753 84.9959379565649
"trial41" 0.336602965005577 1.48244373007492 2.11671664010127 2.30709829619797
"trial42" 0.364275743692943 1.5730946305125 2.0567582947981 85.5062311809188
"trial43" 0.346713820726263 1.50266376225528 2.05993085336697 2.53141209297679
"trial44" 0.318728565877404 1.59049766776962 2.14518903267673 2.50162486989346
"trial45" 0.353686745435088 1.61103678659399 2.02030538797372 2.55958796277491
"trial46" 0.343848173292362 1.48214642640332 2.04473260118102 85.6026331404341
"trial47" 0.325465850465829 1.52409349557462 2.03738250601532 86.1534724860396
"trial48" 0.316447600407321 1.46596975122623 2.14921187876854 2.25926049225971
"trial49" 0.322371487821005 1.55711629096981 2.05202777150216 2.38489262870367
"trial50" 0.315809024998246 1.55252345224419 2.06782253148367 87.9111312835749
