"m=2" "m=3" "m=4" "m=5"
"trial1" 303.941343890431 204.685386594111 183.796768970348 187.717542755333
"trial2" 307.747668941243 202.862044293116 186.075558736381 162.407445806398
"trial3" 306.402384286024 200.566842062099 182.98122541166 1
"trial4" 305.523438149032 204.298229826255 182.203302697024 1.71320557852124
"trial5" 307.924186912201 198.914578379931 182.970808903562 2.90584981161482
"trial6" 298.9304052907 196.286965630558 185.785452182259 189.34141802875
"trial7" 306.699425952628 200.566543936815 185.340332212897 1.34183694703138
"trial8" 306.486807343441 204.485140313281 180.186029134396 1.02409053924573
"trial9" 299.39237802354 194.954070450606 182.233026189909 185.445046561367
"trial10" 306.938355796448 197.151832168992 1.45458664216522 1
"trial11" 298.465519309143 197.162550541761 174.951748916157 200.641825876485
"trial12" 313.86706051795 198.853967115249 181.517128384957 190.064330318694
"trial13" 290.921773137447 202.878344867774 180.617300383422 1.00059140092407
"trial14" 296.124737046744 201.016532855083 179.622822562577 178.47775063674
"trial15" 302.102674881551 198.339757874558 178.857547449847 187.170611246003
"trial16" 302.672354527189 203.516367733801 179.59009918683 192.095642204596
"trial17" 294.553240041577 206.012120378602 181.405015882092 1.27721886638467
"trial18" 304.370291446719 202.732950399441 183.025904935373 175.248393462415
"trial19" 293.928052160325 202.598574406018 179.955448959444 1
"trial20" 305.580012370871 203.256408371902 181.15888810829 1.0898550610239
"trial21" 300.58994945142 199.755798345374 181.476434353942 170.846896262992
"trial22" 312.617254733435 202.373217053258 181.011910503776 1
"trial23" 293.436211091159 203.426173430904 183.45668615465 1
"trial24" 289.56586178409 203.329045036531 179.639696328888 1.47165832054551
"trial25" 306.688350436501 195.425249813022 2.04535922502848 1.06345799663221
"trial26" 306.533515751026 1.01336333449875 185.709848449273 1.06674785981019
"trial27" 305.721766769346 200.935072268266 178.866161456283 1
"trial28" 302.835055000639 205.880745169635 185.183876327066 1.22422450291843
"trial29" 304.550780364525 198.892226710255 185.161577894539 1
"trial30" 292.10611380685 198.127247356705 185.003183512059 1.12241072077764
"trial31" 300.40790206346 207.135861651433 1.09277339199143 179.76087551897
"trial32" 293.632244943917 195.889585316741 182.025426539097 1.23705723469447
"trial33" 297.050406204108 202.728207290728 185.906720029238 5.10707642860614
"trial34" 302.134718272217 199.968138618251 186.688769328337 217.971448093004
"trial35" 307.445115029726 206.927246694079 1.34408364916384 1
"trial36" 309.872828351551 204.69722741337 183.707501468679 1.23941044169059
"trial37" 307.43110974472 196.00244110921 1.09954058740441 1.05033595799097
"trial38" 297.133315363174 195.722269432712 185.94327435051 1.26875618630394
"trial39" 299.610369243971 199.513743291511 180.045190964718 1
"trial40" 293.463204044341 199.463013388673 184.927106707786 1.11625779127248
"trial41" 300.829386045648 202.570969598352 185.408630962188 1
"trial42" 300.978528461051 197.375353624378 181.491457096752 1.33397667036515
"trial43" 300.678868256271 201.063825637328 2.16345772285133 8.98055047337233
"trial44" 294.824836469341 201.923068481875 185.203468135221 183.101455834884
"trial45" 293.801089886409 198.712458642959 184.866422290585 4.92857384820316
"trial46" 295.353645818064 205.684610290207 181.356303907799 1.20114714607507
"trial47" 303.516459814147 196.244014010889 187.105782729428 1
"trial48" 292.385853303119 203.239942743575 187.34616869734 191.173552808428
"trial49" 293.707428493365 200.147820366593 1.713108225426 178.401611227533
"trial50" 313.95541454552 205.420191828274 179.585626027508 1.95820920477235
