"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" 56.8686064296223 369.805274663895 493.974121816293 552.331695553274 585.01839415907 602.594740374829 613.364755899198 616.688261130266 618.772125634644 621.929386811612 625.130774091897 624.691625739529 628.116573059766
"trial2" 53.9846451084262 373.61210761411 496.991969360488 553.621603297176 586.858727859 603.837027365085 614.215097225358 618.145126711147 623.926856032562 624.26158517476 626.995149538776 630.685988544898 630.628075102005
"trial3" 53.7446284753717 371.978204507713 495.139076019023 554.408298017812 585.696235761459 603.716410354 614.213331201488 617.646661442818 620.883617607159 622.684611154631 625.575961188242 628.060556044837 631.820212939671
"trial4" 59.5124527017676 374.773787213851 496.102288635004 554.665780460268 586.861906150194 604.728236363162 612.545415724598 621.546231249965 622.638463387428 628.222005310947 632.120776163774 629.549920539662 -3.12342842814712
"trial5" 53.9615786396864 370.365528398426 492.591161732801 552.626224041546 586.730853920898 604.505911212558 612.79488180697 617.179864624564 618.655897706259 623.846728912192 626.003188122397 -6.72701874711389 631.543529517225
"trial6" 59.7684251515228 371.397489825531 493.305178366064 552.52143933514 585.113940258091 603.687355025417 611.353497929101 616.820807084338 620.779795475837 623.602958606032 626.506887772857 623.018950164811 625.805304363393
"trial7" 54.9384871914841 370.965251469064 494.618830077884 553.626017820566 584.091806531705 603.156684089347 613.404689256493 615.462151628359 620.649161453485 624.082792731832 627.063662907359 628.224962864573 630.31049897875
"trial8" 53.4092247924884 372.016966772462 494.033319693046 554.098675020265 585.30863445422 603.480459958161 613.439296957235 618.183033273594 620.857511051548 625.873488703267 626.821069638157 628.800973721572 631.105548242756
"trial9" 53.4451271676753 371.99248275201 493.024320282961 552.367231226775 583.995530512908 602.509104390415 611.924974399165 617.214211443396 617.656764466734 619.096146853178 626.409993157299 624.970939921007 628.424936514037
"trial10" 60.1536917146245 370.473878896818 494.262544636418 552.864281357685 585.37808483283 603.679497695683 614.170780042425 616.36189077609 621.765089389789 621.116884864369 625.455235018288 626.358252449968 632.258149371663
"trial11" 65.7071964119194 369.732283985097 494.119364609556 554.726954445894 586.324243476941 604.601682468831 613.669153870133 617.385554960102 623.490862030122 624.300778696545 627.526770680754 626.79607255382 628.581402972382
"trial12" 59.7969768426236 372.826056665788 494.060468219866 553.43662202296 587.065120210878 604.543698884891 613.733257336904 616.605040696769 620.640252239389 622.988681163802 628.914663612797 627.787112185879 629.711232010905
"trial13" 56.1910440955031 372.394876120477 494.269098646864 553.978354597786 585.275121724031 604.164947839318 612.706313530386 617.016788421192 621.762533871077 623.741722281261 625.667478633368 627.740794555055 630.11968568055
"trial14" 59.6945153874543 371.043647661425 496.610684150609 556.158317352579 586.281578476378 604.217956614397 613.343968500352 617.816327599031 620.164967453444 624.576308250065 626.814793594682 627.737373181096 632.591973936504
"trial15" 59.0269464913393 370.100536109256 495.888318913494 554.322361059257 586.766441072039 603.944326878776 613.412583906325 617.233619403325 619.441356669082 626.643020515036 629.641442475901 630.388727136823 629.343493179121
"trial16" 61.056898004474 370.4686966926 493.417284354456 553.80011117807 587.690201787226 604.555281701233 611.723212894624 616.585193271598 621.181226615471 621.046233376195 626.496611347897 628.392242963519 634.974211319931
"trial17" 60.85639053963 375.764070329986 496.374448836157 554.798685562168 587.702607260951 605.56111205765 616.498998312567 621.586290977032 623.284270927326 626.307775413869 626.297848735226 626.964719312585 631.229290564197
"trial18" 58.1744008012867 372.711990295286 495.472726842636 554.797318976361 586.289139065838 603.350269711967 613.2847138576 619.083089030407 622.981779138612 622.82540859659 625.805123786374 624.956457460885 630.099494981334
"trial19" 54.2301336326497 371.299246440293 494.350154362184 554.162187617182 584.325525906592 603.490685757182 610.296590957752 617.740409841794 622.353577090994 625.075187892978 626.07278962567 628.097604377592 627.528004547638
"trial20" 60.1037666794671 368.775249739301 493.226887806647 553.092878843454 584.259632232677 604.077494611287 610.91944853531 613.694022383569 620.52301005205 620.67938150506 624.155593142197 628.614922306289 627.203674326844
"trial21" 59.7388615232986 372.337604405864 494.362696947574 554.47506534823 584.783789082705 604.117397674309 614.288217522199 618.741674304458 621.692012891768 624.123446043004 626.691311099347 629.275500984675 630.221160318326
"trial22" 61.0400672921934 371.244642520709 494.957627919044 554.627883570492 586.443674551501 604.268714976516 613.600277964306 617.378411708735 2.85928402816869 623.542869133753 625.698086894718 627.11582284042 626.573712297041
"trial23" 53.8548025737597 371.09987419017 493.403693292588 554.302193850331 584.513292352861 601.409408102287 612.715506624774 614.146425793204 620.941673381447 624.80774899215 625.440225158452 631.887607964355 627.900402373227
"trial24" 55.199852923096 372.025698651415 495.580691535177 554.357452099473 587.286344760181 604.230530558905 613.242449111382 615.420386840107 621.042208358543 626.357818413949 627.166402670462 626.971761871901 630.418975002169
"trial25" 58.5495821900726 371.483233897657 493.141262002406 553.91405966675 584.780129333319 604.067609685897 611.054573493001 616.148016181499 620.298326963447 622.302011897994 627.137641066001 629.62477700806 628.198863805967
"trial26" 56.8093476078893 373.623898046741 495.827555206844 552.766767079275 585.763866002115 604.303990601955 612.353175444735 616.720337772516 621.806760643778 624.532626112008 625.81774301757 628.25659284593 631.875272184562
"trial27" 57.7451940148709 373.098559431283 492.620009701831 553.518772793108 585.742871815768 604.840911743617 613.497288097144 615.269030469294 621.242354366052 624.068609661512 624.058054069654 626.529291272515 627.932731398627
"trial28" 57.4147445648263 371.278709774631 494.14438987719 553.5310183896 585.228633885849 602.989481430653 613.676753315987 616.221050397048 618.037746171315 624.093827715421 626.419321851271 628.866133428045 631.235001557396
"trial29" 50.4907168525212 371.455799674563 494.96293482555 554.291419243606 585.261244282937 603.192270782693 610.684271932537 617.31993977083 621.853994577813 620.868044542416 626.11494694214 628.136861519785 628.535971149417
"trial30" 60.0106839247634 370.205629375586 494.591998997454 553.671811452692 585.200210316297 602.412715321015 610.40912798265 615.955884500032 620.356995545846 623.347456663033 624.875707467983 627.03919397869 628.009504451709
"trial31" 64.1117162681787 371.616312596269 495.198547987831 555.358522024848 586.450688413207 605.069321602567 612.816233602085 616.025474395728 619.99923767796 624.002944713475 625.006089345734 627.685234138858 632.280323214598
"trial32" 60.203548288687 374.023345704971 494.656814604371 554.911144344243 587.160217877313 603.206348278973 611.292168994638 618.592576732395 622.189690476626 622.739453426376 629.123922013241 627.821696410408 629.287925849659
"trial33" 59.3254319578959 370.157126414687 494.1654397809 552.957482202565 585.469888227525 603.882009179687 610.820728615051 615.591414356058 620.029485171462 623.392335309307 625.920600039792 629.153822348085 628.626171594006
"trial34" 55.4008379546886 373.080413118571 493.030099544324 553.948113868149 587.234304257762 603.545460353446 611.392036745011 615.575657968968 620.654327088589 624.428385125119 623.191304888988 630.200080958077 628.624506704451
"trial35" 57.5132127061931 371.373043993554 494.497658006051 555.411131201722 586.874345369704 604.591752931936 614.234579273359 615.866321257425 621.451464810544 626.49134238798 628.890291763134 627.414456145083 631.559737736148
"trial36" 60.6480436658088 371.959467231892 496.410963290773 553.937437966745 586.054159263302 603.313618769412 612.989988745792 619.616727270661 619.085190287632 622.56632591091 624.812364094872 625.42578495927 630.010436452216
"trial37" 57.9751793979477 372.563234357708 494.243590065492 554.062950444486 584.913298382753 602.960558252521 612.355781863543 615.514450212325 622.53356161789 625.601945772898 625.023364918309 627.942556420701 629.98720341309
"trial38" 57.1610223008628 373.224272391747 494.015211037087 552.434003390419 584.687709543831 604.232653226366 615.12560095051 619.054917514163 622.879121362381 624.041055962035 625.444084784275 629.491327428533 627.261381506201
"trial39" 59.5788467690558 371.830934460927 495.362582604922 555.041247469187 588.360845266024 605.353789443776 614.513028678123 618.771864266442 621.07416133149 626.611723317459 627.425137680223 630.074271048196 630.846358993038
"trial40" 61.7448833840411 371.567621852837 496.779868073371 555.210132618539 586.469654388617 605.107894910703 615.194614617339 618.291580306098 620.257643927257 626.426445072811 628.31485012664 630.846490734493 630.51134644133
"trial41" 54.3917296708295 371.913201542846 491.597658263717 551.721754112211 584.063904609005 604.089720442547 611.534742499085 614.820740852279 620.12371478047 624.266651610368 622.932874645541 625.234167860034 627.354213431594
"trial42" 61.7048079808756 370.848035630336 494.04974340856 552.610985791449 586.86117914385 603.052007173466 612.932676192927 615.803875589331 619.542143209411 620.645324103385 624.182844866366 626.732194580328 628.041989076667
"trial43" 66.0075656523924 373.204323803107 495.875378023551 553.669997344923 587.379399058949 604.937415912979 613.142517488334 617.552673887657 619.658799521115 1.37627318011271 626.356959714575 627.767862695535 631.521063436765
"trial44" 54.7754691530766 371.820562790985 495.992210163421 552.658627042686 584.581356005362 605.3730587922 613.395217914171 617.97881127003 623.123215516204 623.890890106792 625.2135603109 628.421779512786 630.964240601545
"trial45" 56.2800971237342 371.264898809918 493.514382907051 552.330974218932 586.840806624529 604.051920168165 612.677397765712 618.369885791283 619.365398351344 625.067711670479 625.327481939274 625.079716127907 629.496462782555
"trial46" 60.5201133968939 373.11201318981 493.541894491229 553.66201987126 586.707903087998 605.206799018405 613.918671910112 617.657644773601 621.123776447357 622.05255493839 626.561209380974 631.542367176464 629.948173060105
"trial47" 54.4903622895823 370.650939041763 496.857818496512 556.442273477871 587.62932218194 605.830153012792 615.562221731798 616.594124446818 620.422355874491 624.726258158903 626.715348282829 630.118991860119 635.11015851112
"trial48" 52.3584016067807 368.722868093106 494.837176127451 553.867975714356 586.272679244654 604.476993682212 613.282241462374 618.107433899969 623.513290917078 8.55017889308276 624.329216659524 626.847362749502 632.844440241937
"trial49" 65.6680448262774 371.951314211001 496.329116267897 553.864466068134 587.422942907235 603.741839002917 612.754108505718 617.678445675957 624.030389225683 626.49457027839 629.534371234541 630.813662958838 628.158973880826
"trial50" 55.9706202588969 371.832138435079 496.429424434449 557.034198814152 585.444203338021 604.482732361758 612.640927954346 619.29094840842 623.094125256064 625.380646149957 626.268733139832 626.853876846839 627.331615383338

