"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" -23.7846586956551 319.221627509362 445.745041579163 508.260400578783 544.238613248618 564.169909657016 576.558496425632 581.285820751059 583.058631442765 583.775760390243 587.088956116528 590.191995723745 591.870307421755
"trial2" -19.4135369252311 320.82365087885 446.576577157765 506.350411719046 545.250203495712 563.933039692403 575.548981578968 578.8766820356 582.932631710892 589.283524138626 586.845250439783 586.952013111262 589.837918311003
"trial3" -22.566960441396 321.453728079285 445.32380342964 507.439223814827 542.995684365371 564.341243451369 573.758902596373 583.567468642002 582.998819525802 -19.2895531889891 590.173540622917 589.916769152443 592.77597393078
"trial4" -13.64850555005 319.80939462073 445.059457342039 508.124655386559 544.063152891963 563.541434302051 575.691601369862 76.8637977008672 584.54139811119 583.32734654185 588.09374223738 590.77394142209 588.920410455041
"trial5" -16.455072499752 318.719462716494 448.911944966525 510.003305099257 544.496911055136 565.475776301458 574.397310666271 582.209344333331 584.326731234269 590.848341798409 10.459097298226 588.692068398375 591.683769180713
"trial6" -23.1928929594939 320.062444706598 444.019709220488 507.387960559064 541.175039442053 564.430467330699 573.30670424434 27.5692348074498 585.642223606559 585.076895691894 591.065146412703 590.981347114564 9.94862229127073
"trial7" -22.0662761406693 318.683447852722 447.401343598651 509.514109338546 542.284106384019 565.962658010694 574.001278745352 579.918693009632 584.218901683944 586.863410531481 591.23132367047 589.653869414184 591.901049346969
"trial8" -14.038185758782 319.794140874198 451.06626243686 511.351417839009 545.217874171332 563.445822033523 577.528185239142 584.768451327035 586.798782705762 587.077202331456 -13.9173916436676 593.438499258014 590.984049175735
"trial9" -15.4703818309191 321.169748705006 448.09101496402 509.372031857906 543.612856375655 565.495921344921 574.770227422267 580.417985342904 584.796099961134 587.757008195228 586.097539515934 587.927508648104 591.519997135661
"trial10" -17.7347999719186 322.826936800799 447.95926109223 509.791800144668 545.820771692972 564.143935029617 577.993817426982 582.989105378491 586.162298334525 588.795658560045 590.645780132194 590.342530507815 593.642989347866
"trial11" -18.0795377653583 318.269955393103 447.597280669043 504.814080659203 542.401898775617 562.320401395884 575.629362871982 -4.14256900466776 584.020288808858 584.770860937384 590.064930703149 587.35919495627 2.23143392583989
