"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" -26.9263677772614 -25.1937489689845 -25.133345716819 -24.9637968594466 -24.7839156944404 -24.5271479213312 -24.3024042579528 -23.9386477658488 -23.8789713676423 -23.8282064811537 -23.7196063273431 -23.7380395650324 -23.5689991333779
"trial2" -26.881222473953 -25.0837579005545 -25.0950384650649 -25.0159843839729 -24.813999883994 -24.6699364519038 -24.4297603341203 -24.1539812280283 -24.0126025589227 -23.7724355575517 -23.8219353646958 -23.6235984044616 -23.570318250897
"trial3" -26.8455208901579 -25.0944170076418 -25.1975979730771 -25.0691635338826 -24.8638244752293 -24.6787022746811 -24.36694482813 -24.1478789941063 -23.9676589336865 -23.7412381581369 -23.5826400295883 -23.5567538250818 -23.5849570559697
"trial4" -26.9512852276517 -25.1168342150642 -25.1155063970905 -24.9949330915099 -24.9824962408694 -24.6399211479821 -24.2975740823538 -24.0737906429454 -23.954012148918 -23.7765718073858 -23.7615794208836 -23.6360838045373 -23.6589442396988
"trial5" -26.8469674295586 -25.232953136061 -25.1082342488352 -25.106391943529 -25.0067194643543 -24.7330775326204 -24.380647734473 -24.1379830235201 -23.9389273780575 -23.8762097141085 -23.7415694576954 -23.5910617964147 -23.5685920529281
"trial6" -26.9797497588953 -25.1302265817008 -25.1020903700751 -24.9764274747385 -24.8729283497991 -24.6650883756996 -24.3283145871445 -24.0803794367478 -23.9004050307039 -23.6873605298848 -23.6621188026211 -23.7051335689281 -23.6479190025457
"trial7" -26.8674394877725 -25.1421196546875 -25.0317841762288 -24.9841512576594 -24.9612278214681 -24.7848825277327 -24.5309145360214 -24.1982338070118 -24.0002172490379 -23.9863447703831 -23.7956214837622 -23.6768860933718 -23.5964424166049
"trial8" -26.9187259781577 -25.1507093673483 -25.0958999770937 -25.0118221741349 -24.8820501547613 -24.6336634124716 -24.4008742422993 -24.0606244108805 -23.8439984984292 -23.8544518144076 -23.7724330371212 -23.6264373474042 -23.6246202468484
"trial9" -26.8498245201305 -25.2149066683437 -25.0785401783452 -25.0563530005653 -24.855066401183 -24.6314135688946 -24.367792892029 -24.040841461345 -23.7926793956151 -23.7421045318632 -23.5623166260065 -23.6531886550026 -23.5689891085199
"trial10" -26.8657129115813 -25.1531657504178 -25.0656341845005 -25.0278049222595 -24.892988332828 -24.6974923175785 -24.2982222431908 -24.0436863186673 -23.8837651081675 -23.7457424416507 -23.6259426251058 -23.5131218676566 -23.483235006012
"trial11" -26.8823257568475 -25.1949823876421 -25.1349430647417 -24.9756857676316 -24.9620891919958 -24.7137898115407 -24.5008545770851 -24.0637349654251 -23.9480757022635 -23.7734086967653 -23.7160869561036 -23.6847647667163 -23.5463763736725
"trial12" -26.8480135573126 -25.1888221216814 -25.1494222019075 -25.032858105973 -24.8716948022959 -24.6905762719152 -24.4475516793734 -24.2728251897228 -24.0059731877032 -23.7574795577202 -23.746096972359 -23.6401555682996 -23.5724672825146
"trial13" -26.8754206713489 -25.0591153137198 -25.0365169264465 -25.0038977680179 -24.9009738176688 -24.7349093729 -24.399978139039 -24.2104644327246 -23.9351638817513 -23.8103522940865 -23.7710279545849 -23.7427687381333 -23.6853333273177
"trial14" -26.8287956192273 -25.1524174863179 -25.0726792347805 -25.0446651326648 -24.9750410264669 -24.7006170949516 -24.4271185353969 -24.1444310377097 -23.7088616631087 -23.7634337790459 -23.6047248538609 -23.670283323683 -23.5625640911959
"trial15" -26.8537530922792 -25.15858404561 -25.1490824285428 -25.0398924770436 -24.8472597342095 -24.6550333161659 -24.3886560662508 -24.1164652556103 -24.003453169522 -23.7620387482745 -23.676166230129 -23.6029647180527 -23.6319458411509
"trial16" -26.8470600731625 -25.1178827553975 -25.1275090766374 -25.0666522251638 -24.9356449721992 -24.7272524099881 -24.3902108816588 -24.0441849342161 -23.8941157446375 -23.7989981379935 -23.8586503194595 -23.7048294130268 -23.6218468779429
"trial17" -26.8756095817989 -25.1689341801324 -25.0886537587752 -24.995615500491 -24.7496204736852 -24.5579101650651 -24.3829550585799 -24.129258977381 -23.9469914755927 -23.8176628700698 -23.6275679984722 -23.6302812703125 -23.5965843557843
