"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" 4086.12312366304 5437.96767268912 5825.31698609218 6024.78436655866 6152.68779795648 6237.30625865482 6295.49903497032 6334.50610563777 6357.62017969406 6373.99452782766 6386.60525384436 6392.37982901628 6398.08586206914
"trial2" 4082.22755223275 5448.2591329904 5838.00253251033 6028.84835580467 6153.40995689087 6243.94320593272 6301.68368110843 6335.4422354174 6356.91936512138 6375.151180265 6384.92163699415 6394.54152483317 6397.67907491737
"trial3" 4079.08223581891 5447.77238210069 5826.41358648165 6027.20269904925 6155.95204159302 6243.33806206501 6301.10067745901 6337.11882927526 6361.04304922155 6375.46418933647 6387.73789687127 6395.71104509761 6399.67342048081
"trial4" 4090.36003125878 5453.83252461679 5830.50137547049 6022.38169205724 6158.23813096698 6247.08127446626 6300.81489951486 6335.12892846 6357.33834301898 6371.8877186951 6382.12443814511 6393.86846482183 -1945.20014202572
"trial5" 4090.13956470197 5443.60881525763 5821.85446463021 6030.07728992281 6157.54052024921 6242.16933928584 6298.52781565455 6341.36905321861 6359.36066045818 6375.82671250365 6386.82396101059 -2904.18183626648 6402.06766662559
"trial6" 4092.94741958221 5450.05416252245 5824.22876890571 6024.82658143157 6154.10233305804 6241.14565940348 6298.33512052061 6334.50412933314 6358.84019415906 6371.04523604224 6383.82107955894 6395.35172819068 6397.28781512219
"trial7" 4082.93581922606 5446.0204266195 5828.96956672864 6025.50705314404 6151.45246012364 6243.68597047853 6298.48645612498 6336.06835017824 6358.40818025864 6375.85196189208 6385.10466152452 6396.81385910981 6399.16989142548
"trial8" 4079.80869247717 5443.02248959376 5829.33996583568 6031.43244410476 6158.2271849691 6249.06898598319 6300.80933522684 6337.22021704692 6359.96466364199 6373.71864402808 6387.46438603009 6394.52498185628 6398.34987575865
"trial9" 4081.62054506388 5451.07398231741 5827.18602644038 6029.47959955336 6156.45079261576 6243.2293521473 6297.35925184824 6338.56988559216 6360.83848357263 6377.6243684755 6390.81054948068 6395.11251731018 6400.76716569613
"trial10" 4093.78765382368 5444.75663268301 5832.14283223142 6029.78799367919 6155.05786076939 6240.29590415256 6294.37164194768 6334.43147757574 6358.23707184395 6375.55534225421 6384.55273552575 6394.5215993464 6398.08272010837
