"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" 31593.4835657718 4613.86234283445 2188.47241822058 1232.58117933697 738.09176668997 470.756730453488 317.913049090836 237.104820679266 201.213574539174 175.227437980159 166.696240151833 160.497165615237 153.963474421122
"trial2" 31500.8117756564 4597.43556409014 2104.85379654856 1223.72450627074 743.839519207759 445.639486729181 300.566363631215 238.288636406133 203.164116949152 180.158495196843 170.759925287779 164.404919286134 161.258370189309
"trial3" 31625.6466087702 4582.47702304886 2186.93487498863 1233.37071405277 738.165561026808 454.539225074747 307.528188389405 236.680997574153 196.881072325767 177.448660348146 167.090116434653 156.600858952142 152.552195583073
"trial4" 31537.0270030979 4574.17762104723 2178.95631214947 1282.56671105262 745.471959934106 440.545059241261 302.37502920191 235.634456168795 200.140132752813 184.837628564143 175.379563200973 164.046918490414 1
"trial5" 31047.1624027313 4553.36390584777 2163.84901541243 1198.35491007329 716.183718841975 467.518603893564 327.117462592426 237.616794271487 195.468859494955 176.17447034129 161.631716364302 1 155.570139981007
"trial6" 31485.476174363 4499.81845320556 2177.86011257163 1232.17959941312 729.036814520459 452.586180779336 308.397288693037 239.41569491206 198.876755992195 180.423095225151 169.278275148513 155.281635108159 158.024323467218
"trial7" 31625.2373426431 4572.54342737234 2210.32779946079 1220.77887728024 753.121950422932 453.490655309659 312.550977611655 240.027400637647 202.920808224052 176.069160995103 171.451259775714 158.468084484327 158.617764063037
"trial8" 31492.5948869617 4640.75849534736 2162.62393216489 1209.3915519594 730.95181241833 427.263148165841 301.089737279354 237.247502511856 194.696592365377 187.494195330428 165.099693861931 162.989991100863 161.914104545011
"trial9" 31481.9355536905 4514.45565048292 2171.7255395896 1216.44003460225 721.448152731954 441.125446967135 311.947106319438 238.751387697945 197.661022361522 178.503789128046 163.689816092533 156.12128728184 158.590841683898
"trial10" 31546.0478038526 4529.70949920719 2140.0113585187 1221.5233633093 708.010309717999 447.608219566258 322.451878929546 243.701198038541 208.460452707624 180.43312870115 169.838844790756 160.954410196379 157.968007529454
"trial11" 31325.2625009788 4565.11053758833 2133.04728984286 1231.38746090797 711.270909185613 459.972925790336 308.477173582332 239.742150517207 207.774029751061 180.533640385061 176.626677040787 165.106132834023 158.522379027478
"trial12" 31405.4419944225 4596.9217801559 2161.08768743566 1206.93324009186 735.310536311026 445.453406835587 308.322342542574 235.829778875264 198.72308770615 184.262845884369 170.943415901969 161.268752526982 157.412195028929
"trial13" 31804.5856024508 4528.47457026207 2102.06501233752 1180.33881581605 738.568215658054 442.602965399457 298.996443194802 233.897422237731 211.485677500678 185.073618083517 176.303370397525 161.208153759043 155.226565716085
"trial14" 31453.287632058 4570.8643939347 2169.71653640026 1230.01111046598 728.018580219731 451.150715345981 308.832605648159 235.600457938788 196.922344966996 174.150644529476 172.389797079955 162.414202014871 154.955651238878
"trial15" 31489.3258877709 4572.61370564053 2178.58291083091 1213.95833933847 732.496729203504 449.559224626944 310.21832442609 234.674508689538 194.728508430957 177.915551953661 170.418158551906 162.941957491505 154.894900383995
"trial16" 31065.2191300758 4491.87391108403 2234.10072428303 1261.69207946362 750.061957411061 433.818059749362 307.806537734175 226.841755415983 200.904916518331 172.069417150573 167.803315458328 158.097362730149 156.623583824221
"trial17" 31141.1163606809 4664.66940741582 2177.80671426124 1206.5727426682 733.283192357597 451.936992538154 316.386000385876 244.783892104229 206.923828632119 187.550175156776 172.153011821573 163.180431395353 163.458007290716
"trial18" 31365.2947688981 4592.34578809399 2159.64024335572 1199.28669854565 712.518351244087 461.37233961372 328.907918858447 249.502404057551 207.062249469959 182.616088617334 168.670189634888 161.309612689684 156.416935149434
"trial19" 31703.8297352653 4685.76984867217 2196.49961043784 1250.827315383 754.912940655903 436.843376579106 299.820662898063 229.952720992365 200.369377794792 177.623446336025 169.886675827423 162.312620406705 162.295593099008
"trial20" 31325.6942933305 4518.22976189764 2242.7616367865 1272.89398336762 748.474139940407 465.198925250577 296.321840704295 233.185285613339 200.452337620977 174.812628297773 165.825687301305 153.226025460272 143.999621423842
"trial21" 31310.6696611337 4624.23240751714 2147.06647336526 1196.43939452502 743.934467827457 467.190062480591 311.712787476041 243.777011336717 202.43810205895 184.234581547935 173.205383077246 158.812620028037 161.087795366915
"trial22" 31137.5192917526 4492.39749907094 2160.26290344992 1221.31172362126 742.647743886591 464.39652234356 306.990801094607 243.736947222593 1 186.304583598366 170.122425493399 160.49344350863 153.814884139813
"trial23" 31243.4440620702 4585.55995526782 2193.98241732549 1251.72885420123 744.671120502719 457.842352655159 315.309129480756 243.350202892873 205.129084603508 181.592402039934 169.738131615242 163.557266562401 162.205557049877
"trial24" 31476.5651862795 4508.71635079516 2200.68372308776 1243.31370996089 700.826937435986 459.388233020217 308.088361858071 238.88363133412 204.647986554854 183.286246610317 174.390677427421 157.588555218053 159.871035182178
"trial25" 31580.785491285 4569.13942883934 2134.35264418427 1217.99347514968 724.132150347073 455.431257652391 323.090340304488 239.953153897126 207.794004403444 180.90050454054 170.803063085367 161.306019632944 160.43219078521
"trial26" 31430.6915998233 4547.61694875578 2163.06799027232 1199.35818961139 736.202101853962 468.908298296626 310.021476265222 242.625175237679 197.350203494717 178.592898013013 167.677586154807 162.247631621738 155.149522525288
"trial27" 31247.4089583438 4541.55216756593 2140.91923543921 1234.2960122057 744.677868970973 467.835195713133 320.782224428219 229.067237394304 211.613284441215 185.557119686232 167.594355233257 158.955356337304 152.16043988822
