"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 100.025970426503 99.9516801639524 100.107951841423 100.179427785548 100.229051912677 100.202191431582 100.267281251079 100.226476809782 100.377932711082
"trial2" 99.8638246567889 99.8696891676905 100.078925470883 100.197478732944 100.282688019199 100.233463201852 100.041707219652 100.103449715445 100.162204874405
"trial3" 99.9758032889629 100.206097626439 100.104285848944 100.13309976135 100.122385935166 100.190606194211 100.119924460755 100.237595507634 100.234512258498
"trial4" 99.9452915048388 100.100025710181 100.093589842701 100.009647387016 100.238109958861 100.119599952207 100.064048987124 100.058922058556 100.239803905036
"trial5" 100.128964692099 100.166007454496 100.222959760575 100.226409603821 100.360344127287 100.09285095107 100.11345801937 100.31277425791 100.18719728035
"trial6" 100.157434007566 99.989336429573 100.117648697358 100.04381164731 100.156406498601 100.116460312299 99.9995850708642 100.122834849329 100.284172797531
"trial7" 100.075829976905 100.092885050369 100.173088513736 100.3392495735 100.117060021594 100.171918897749 100.12891701376 100.169912686196 100.270887741604
"trial8" 100.040843466123 100.111837063567 100.185271942831 100.110510811497 100.170481857987 100.241044246845 100.248277373116 100.194253965365 100.181476807074
"trial9" 100.153416977339 99.9239131783603 100.059469009784 100.265979257828 100.164759690322 100.272353357044 100.300561241189 100.22279079203 100.215465166857
"trial10" 100.216507071023 100.280655210732 100.085340053085 100.142761091937 100.13689466751 100.270803272469 100.245879146133 100.258592960263 100.187886545587
"trial11" 100.099826946956 100.134957265565 100.114216752686 100.28554112189 100.147763882644 100.230466486491 100.131291966203 100.145310387655 99.989374867678
"trial12" 99.9587552362165 99.925954708642 100.026761363929 100.240499296085 100.127514140582 100.323138719918 100.307234228632 100.059857074489 100.322701954783
"trial13" 100.117680106629 100.000632743418 100.061414510514 100.262538632493 100.131955945773 100.196079972414 100.269884300847 100.468816595009 100.385505299681
"trial14" 100.00197514501 100.06400204949 100.078510330914 100.16476344229 100.142458033155 100.238059408596 100.246511211659 100.156603078238 100.358969717812
"trial15" 99.9956709083549 99.9782522240691 100.215232866568 100.212291157648 100.258594006352 100.138406493679 100.135724620659 100.220921977608 100.286925744324
"trial16" 99.9381693729282 99.9590414594319 100.245992546165 100.0592176819 100.216741469987 100.232094909385 100.192443779461 100.250079590311 100.266793579325
"trial17" 100.07344339138 100.044553252976 100.343139225059 100.04236686186 100.242951036029 100.099415915883 100.027878885234 100.188665906455 100.161378783073
"trial18" 100.201141050647 100.120337003516 100.001036589591 100.336096535392 100.217086465966 100.195455794962 100.146298540223 100.302927382104 100.134122363496
"trial19" 100.028281674945 99.9617323850235 100.031825993562 100.167600523349 100.061825403881 100.178259157633 100.289930927231 100.064819609354 100.226287036225
"trial20" 99.9875815141462 99.9700820974264 100.035268444613 100.020684065199 100.259754547711 100.201057545654 100.172793783553 100.215074796049 100.185137815822
"trial21" 100.08191270364 100.186569454303 100.226260888466 100.143849255966 100.177608550454 100.203507001444 100.205450808445 100.267473962303 100.271129010913
"trial22" 100.204602176266 100.150987004737 100.217705968083 100.198470834501 100.299069560706 100.266624153831 100.178242268572 100.052077977942 100.411435401275
"trial23" 100.093058928412 99.9152786473091 100.157313066152 100.146725374888 100.146508341399 100.136412028624 100.172875009006 100.227666483897 100.126531374244
"trial24" 100.00857373106 99.8497835103095 100.117738418063 100.138629017418 100.280542075027 100.069692259663 100.246006691247 100.094753724334 100.182755357451
"trial25" 100.021701820733 100.027288403393 99.9418521704772 100.118089971003 100.326953082716 100.189740297341 100.111223606365 100.218155686681 100.093310723275
"trial26" 100.077657563702 100.126750139039 100.042081157601 100.234834402721 100.162651176134 100.253894321281 100.266207635424 100.059405264697 100.208604135323
"trial27" 99.8718052191312 100.177333424991 100.178250960552 100.124086666328 100.18500597736 100.173601360112 100.093861655306 100.255514524487 100.218897423807
"trial28" 99.9042008743239 99.9223216326959 99.9716466255212 100.270387317773 100.1181687129 100.274956066718 100.330163826746 100.180256364641 100.28948948769
"trial29" 99.9283676987145 99.9219132330181 99.9889120222942 100.093728293302 100.229605615426 100.175621938621 100.20538159516 100.17571022018 100.28991226654
"trial30" 100.058408257299 100.048337109158 100.136795189285 100.276592667705 100.152087797894 100.220596849175 100.064925079226 100.258665482205 100.153522453957
"trial31" 100.144795010919 100.157788486021 100.051536497895 100.068143317698 100.21357260018 100.210072111587 100.38450672281 100.254600059476 100.105060442005
"trial32" 100.130314820347 100.035716304512 100.06448140487 100.219428476767 100.116260429109 100.260698171753 100.213289011558 100.175326562908 100.234840304423
"trial33" 99.980472261191 99.9343928873666 100.001082035855 100.136503814051 100.216371430563 100.289123233 100.172500323276 100.21601152106 100.105678233705
"trial34" 100.123891377436 100.145900089306 100.247868403539 100.105803007571 100.295000576155 100.07906846729 100.306355206803 100.365888177315 100.538091094151
"trial35" 99.8631903568943 100.105266027618 100.064028168252 100.1834727602 100.171576636367 100.206823321828 100.161317691804 100.109215892661 100.119424700679
"trial36" 100.179467666361 100.072534973626 100.213059098604 100.055550840091 100.233437745951 100.168962643937 100.225937026747 100.121798298682 100.187250732987
"trial37" 99.9375006852843 100.08531572554 100.281247767365 100.176527745398 100.161906185057 100.243160587539 100.255217675837 100.179960348582 100.239941714366
"trial38" 99.9759146443745 100.06277656008 100.103721631146 100.123906823812 100.278830120189 100.161585721611 100.159201495937 100.299223463785 100.267960572912
"trial39" 99.9457610982563 100.090894845292 100.17430063315 100.101314952192 100.33200678195 100.344429869278 100.151509056084 100.08694617073 100.19160688878
"trial40" 100.00945307791 100.042086569099 100.061745401391 100.196553701432 100.230217538782 100.118311533741 100.1589521519 100.165177579855 100.292460772896
"trial41" 99.9958595478521 100.120327515277 100.058683773399 100.158567852967 100.148590975493 100.145873323277 100.168351173728 100.165815260563 100.123702384829
"trial42" 100.102551386514 99.8342412424806 100.129182045168 100.177362575937 100.077728855014 100.295415391157 100.23235575375 100.277836997478 100.245556313788
"trial43" 99.9320351585174 100.142119986234 100.111956676327 100.21082369874 100.290221259072 100.237998883879 100.292906260283 100.279204411988 100.152692289672
"trial44" 100.020107867943 99.9350771533692 100.045505277348 100.071017241686 100.170621505418 100.202409052553 100.162010009961 100.008830320238 100.09798323204
"trial45" 100.058443713744 99.9679141603909 100.178538491397 100.156945426001 100.242947711277 100.232551478379 100.107142762055 100.126773953059 100.1762711678
"trial46" 100.117743068737 99.9385026981763 100.114934507926 100.040382489182 100.244392039621 100.158669513383 100.208882394377 100.192173062193 100.236953520039
"trial47" 100.064712551174 99.8897353557302 100.172970207199 100.290461815173 100.198812841 100.18759435421 100.180875431107 100.171110836581 100.193782532577
