"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 0.044027757225319 0.0885489174126175 0.0765154909492136 0.163668749470428 0.0732637114712396 0.117304268126732 0.0144564316529638 0.0765294161623779 0.188169975506261
"trial2" 0.0100431926009569 0.0507767269433443 0.0464967096101329 0.159043195836956 0.123658544130935 0.0445993956485813 0.0329191386170753 0.140663288511963 0.145354267299611
"trial3" 0.116225289427351 0.0606243207131031 0.0152861610698173 0.0966720260603602 0.0852156892480634 0.0531022214002389 0.0460348237527331 0.00914068910373548 0.0430429130800205
"trial4" 0.0189841605067206 0.302345805268791 0.382845166276897 0.0688380998149695 0.030007728913781 0.0555184176698713 0.0199537715582306 0.0509621210866402 0.0344373235342513
"trial5" 0.280255199619385 0.133261445434581 0.19219092116431 0.174514311960808 0.0679018178379719 0.0550619580044676 0.106073987058393 0.0340104809170974 0.126095291069105
"trial6" 0.041807881085886 0.162391289442222 0.156057981137815 0.192873051305341 0.0488665730789509 0.026708033709551 0.108817593760665 0.25911778232697 0.0435332312302529
"trial7" 0.0105694247198461 0.14760439558207 0.168142191638488 0.235149628923224 0.273991654779858 0.116747874933898 0.18493191328848 0.185879884610383 0.0863821441284853
"trial8" 0.0118815067977027 0.14172763062594 0.0714101307274535 0.174084848620274 0.126391952018924 0.051123060736933 0.0513795092935172 0.182650416354412 0.123147331433965
"trial9" 0.0234521777245403 0.091002662811656 0.149448402213487 0.0347468650133298 0.151955533269469 0.0811122570643927 0.104080091910433 0.000791358173034081 0.132389940938218
"trial10" 0.00591805439508407 0.16355114044088 0.0379987418701986 0.0845201759313631 0.0700712990134587 0.0619619700621 0.043607753946673 0.0174614112994441 0.00656672780495211
"trial11" 0.0485471059958382 0.0590972041327142 0.0103091587623814 0.00722009250613177 0.107852588785042 0.0117715515495366 0.070965295200227 0.0766567669076664 0.0803187283966345
"trial12" 0.0136924722371417 0.00967789374865225 0.133606163724797 0.0503958738961096 0.131492096232052 0.00648698467735058 0.0112204043772187 0.00284588518963704 0.113032686707521
"trial13" 0.00104965979256301 0.0155711916546293 0.0406782348554974 0.00609596543892019 0.0804719658592617 0.158311358139707 0.0541700458231842 0.00627013639005116 0.0270417977448542
"trial14" 0.0254074640714959 0.040011753684679 0.161724468403505 0.0127295786660236 0.0545727515963609 0.0773408017227812 0.0480874770746001 0.0265771163929655 0.0791683913799624
"trial15" 0.346884987227731 0.128719943187415 0.142084269172173 0.184226229351729 0.0246139046283357 0.0800526621253554 0.104657185945646 0.119624855157352 0.180496972311112
