"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 0.900093485645008 0.899555291123479 0.900414736392602 0.900486895858712 0.900436437857471 0.900265740358112 0.900586025506803 0.900523308498546 0.900099641935309
"trial2" 0.900253198925392 0.899801927022334 0.900069845766684 0.900384296828757 0.900190769081599 0.89977054184679 0.900282522019725 0.900511207728781 0.90026414274887
"trial3" 0.89986119481547 0.899522785006054 0.899874517310062 0.899827075420834 0.900098799980749 0.900355931187273 0.9003360274269 0.899769929462464 0.900123892780954
"trial4" 0.899681327228537 0.900123051318636 0.900087453270999 0.900366556808121 0.900566619450114 0.900564633871868 0.900217168637764 0.900780889769128 0.900599625409571
"trial5" 0.899541795404762 0.899859175752524 0.89973222315723 0.900287018663403 0.900024780160638 0.899779119861029 0.900410137915337 0.900381274641324 0.899830209476827
"trial6" 0.900136761836915 0.90012605294693 0.899731789772523 0.899703718243899 0.900140941666801 0.900043754289144 0.900615341231764 0.900480203336587 0.899789522931669
"trial7" 0.899752735976715 0.900667745244197 0.900050768034124 0.90000184760823 0.900424757965608 0.899927142299693 0.900691172115038 0.900160764438403 0.900239097288509
"trial8" 0.899160483551779 0.899838944640561 0.900643615636349 0.899993599510306 0.900194185025759 0.900020451082407 0.900297687303386 0.899973205645966 0.899807843363974
"trial9" 0.899700981501035 0.900029306611743 0.899703672618 0.899856417965957 0.899746541683375 0.899404065327574 0.900538054269923 0.900272227786651 0.89981241687918
"trial10" 0.900522810103548 0.900567725072119 0.90017205372179 0.900414592096002 0.899747813758811 0.900237547049173 0.899951953363354 0.900352463785503 0.900149094686226
"trial11" 0.900194552775584 0.899935215457486 0.900130341972903 0.900517184560635 0.900265565036435 0.900310091070601 0.899879649026248 0.900490737925527 0.900263068515499
"trial12" 0.900269150532157 0.89946752067703 0.900540029905039 0.899764862257427 0.900101388866819 0.900490185136616 0.900342919660062 0.900218276876484 0.900314144310301
"trial13" 0.899855175287477 0.900123856568854 0.900138471337358 0.900319013856195 0.899824820779257 0.900087533410442 0.900169521748732 0.900663944480281 0.900462507206264
"trial14" 0.900251793144171 0.89997527671133 0.899448000530378 0.900558565136175 0.900359709943016 0.900017042413909 0.900448587127411 0.899858511290257 0.900298511514271
"trial15" 0.900396996715857 0.899916385355517 0.899498282070264 0.900535894329933 0.900103997074706 0.900267620216714 0.89986393554226 0.899820172290225 0.90017235911644
"trial16" 0.899497868995294 0.899896067333393 0.900237413999587 0.900405607606491 0.900278326617342 0.900227040384273 0.900256012542862 0.899909210896914 0.900808186592655
"trial17" 0.899809417516659 0.900161563508602 0.900565202759967 0.899894651677978 0.900367841582413 0.90059853956664 0.900044084153195 0.900417944507956 0.900279600077133
"trial18" 0.899227638815164 0.900033042528052 0.899702002783555 0.90006988378015 0.900054664990416 0.899854834554332 0.90024584584208 0.900691593803528 0.900314302394643
"trial19" 0.899822675066383 0.900018996037658 0.900588522880892 0.900716751096534 0.900426637961479 0.899797298660931 0.900402223910963 0.900406750912213 0.900505840422713
"trial20" 0.899570009720318 0.900103076156699 0.900285194882769 0.900077996039572 0.900560180981464 0.900597304572835 0.900294440523394 0.900382606240457 0.900356329576347
"trial21" 0.899893419249597 0.899896612967455 0.900148648802354 0.900421867919546 0.90024259301606 0.900194034703669 0.900408897354535 0.899920901594774 0.900379914739933
"trial22" 0.899996169323479 0.900148367254497 0.90061423765603 0.899802104030843 0.900371122907903 0.900193123325281 0.900794065781582 0.90049595758472 0.900427447963496
"trial23" 0.899523732202398 0.900224219197156 0.899784055486654 0.899717175163867 0.900191212586863 0.900474277262905 0.900293521886208 0.899800554458999 0.900083254702008
"trial24" 0.899611144860298 0.899881069870368 0.900513893226746 0.899958869044601 0.900333139908934 0.900811800172841 0.900610506240607 0.900296249952505 0.900720508102838
"trial25" 0.900383577664947 0.899779428806409 0.900529489106614 0.900478730095656 0.899897323870016 0.900064573890334 0.900055299256276 0.900325855835012 0.89972257711615
"trial26" 0.899727647467365 0.899898959928322 0.900663415702939 0.900470600905651 0.900563463235347 0.899859239062549 0.900144714279581 0.899846455569035 0.899633278721843
"trial27" 0.899476737229196 0.900399533779456 0.900487282945932 0.900419074751134 0.900465294658346 0.900955629564391 0.900572805155583 0.90033134834913 0.899973974018262
"trial28" 0.900389351687672 0.900097097477328 0.900473356774844 0.899977450433248 0.899997725679853 0.900354701599207 0.8999480570515 0.900370780389022 0.899884119337604
"trial29" 0.899091877645543 0.900182206143118 0.900273922373625 0.900249407807893 0.900412298826392 0.900422037772503 0.900342134243163 0.899790553649105 0.899988769364164
"trial30" 0.89929718620426 0.899541497149715 0.900460699895619 0.900761376095281 0.900458835030311 0.899904610888624 0.900093679638458 0.900229155761244 0.89995407639139
"trial31" 0.899455885898447 0.899549091836259 0.899818029534145 0.900752883459759 0.900412801846324 0.900332803694481 0.900065015650533 0.900422327070328 0.900381924719954
"trial32" 0.900147083532076 0.900194958401197 0.899914511274097 0.900256056756925 0.900339440945131 0.900283381085297 0.900043846270143 0.900241302552818 0.900486223683114
