"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 100.185373848135 99.4715235007262 100.330422204355 100.20277139618 100.335326676118 100.165702529379 100.614798500349 100.911908820444 100.996222091621
"trial2" 98.8553219393347 100.049289887822 100.460888730355 99.6917827162576 100.49201078742 100.43798204254 101.221435930369 101.453488700315 100.156836723376
"trial3" 98.6036755077451 100.357485912709 100.391265129632 100.061761092326 101.46173397453 100.647959779365 101.511496602715 100.138760270148 100.988657918851
"trial4" 100.054133631749 100.088030902722 101.166953129373 101.389057343086 100.273583758869 99.4749807262812 100.735033171516 100.878076517207 99.535712167126
"trial5" 99.5840152339358 100.166498980154 100.721411639442 100.039773693749 101.164204328011 100.58417598784 101.386897924196 100.229767898126 101.477990565023
"trial6" 99.4948381005171 100.326465609031 101.53091601345 102.202337036012 101.503300929962 100.590150526262 101.725369184237 100.775696947615 100.943763789673
"trial7" 99.9221598134613 100.157859700683 101.121901660997 101.105074171838 100.442406419581 100.247868988526 100.765985801462 99.9209009041398 100.151655477654
"trial8" 98.5879148781045 100.67043480194 100.186152938845 99.8923429074759 101.238820256417 100.522631768775 100.103021902608 99.9849532625999 100.869407292605
"trial9" 99.9453741514127 100.262813588103 100.058876391631 100.823163786188 100.338052621608 101.762153565245 101.179475290647 100.742448116721 100.822975862928
"trial10" 99.8175992721929 100.688739005441 101.090183796178 100.901685662943 100.999738783874 101.328633640244 101.344177057949 101.717709898238 100.820130880577
"trial11" 99.7070589029867 100.752721036342 99.8584074876467 101.289584695877 100.295867086486 100.549656296348 101.827136728489 100.171089801757 101.283828249309
"trial12" 100.224476696957 99.9307229325139 101.551797180022 100.858561075684 101.222668785001 100.230684440844 100.823238405341 100.785136831966 100.200074835593
"trial13" 99.2340548576544 100.674602809005 99.5034735820497 100.365809488759 100.466894950957 100.653290403373 100.937134973019 100.891061600897 100.590319742766
"trial14" 98.5392044842929 99.9618816338794 101.27955235706 100.323785039503 100.46204301058 100.545199835127 100.774774023872 101.152356413125 100.427520152029
"trial15" 99.4548727031285 99.354908741715 99.612398140698 101.603084047223 99.6769479238906 101.295626111038 100.857533349461 100.18174588833 100.040202077605
"trial16" 100.702371916316 100.575519554359 100.772372916071 101.637018018433 100.544464236592 99.9346576861947 100.855797369718 100.556932179283 101.032965295149
"trial17" 99.6661324293435 100.601604860938 100.958178095399 100.524872351303 100.689952984395 101.548746835589 101.591782470888 101.321622585518 100.235852689623
"trial18" 99.5197366038583 100.017689267984 99.4781721699456 100.083338711434 100.89194642059 100.790387612822 101.475038616215 100.936839596056 99.7535174262904
"trial19" 98.9762348593115 100.819316836907 99.4967747396873 101.477734429284 100.628551813411 101.358054663193 101.022188710466 100.304000143506 101.508216759771
"trial20" 100.018749312463 100.677968279521 100.460473432121 99.9131273626892 99.9931748462514 100.647833323454 101.137167832528 100.451212567167 101.611324121848
"trial21" 100.553065649533 100.835824388427 100.055805130283 101.402472648342 101.293307671478 100.502274200882 100.682810860934 101.213129694318 101.005640745536
"trial22" 98.9158923099032 99.8232204214267 100.94346010672 102.428438574746 101.071113954448 100.324983445806 101.66116986555 100.487049194177 100.979845865886
"trial23" 99.7868904869469 100.192381216745 99.9012344613721 100.748824282309 101.074872402694 100.216620998643 101.353442976854 100.834759726228 101.065759606729
"trial24" 100.32008818832 100.438152826447 100.682983376961 100.907961717471 99.9425554591562 101.542230382578 101.247639755552 101.374681221828 100.901440485891
"trial25" 99.0710617324699 99.5259847634416 99.156513885644 100.559202988472 100.370405653328 98.8664842300156 100.249831893206 100.681692012003 99.6420805880972
"trial26" 99.752670381507 100.258262248962 100.521015332919 100.16639092582 100.313520101021 100.670686263206 100.590332813742 102.151418192121 101.309477523464
"trial27" 100.520991132768 100.25906141147 100.970432301208 100.722139717063 100.7970172365 100.743133702379 101.738266661068 101.110592332485 100.214397706121
"trial28" 99.7494309316453 100.257433195576 101.534165070827 100.385087308183 100.766307506177 101.284670382463 101.069962617268 100.941221360102 100.870799435316
"trial29" 99.7021998227714 100.057435870368 100.130048599942 102.034993829584 100.381881673489 101.35217170938 101.196091353351 101.423697266906 101.447484543517
"trial30" 99.3949886560379 100.178293449725 100.510627494845 100.917766357893 99.1981539656683 100.707550585777 99.6482913817075 100.978620464876 100.386788692296
"trial31" 99.1261611380661 100.346656781059 99.3135482507409 100.127355936515 101.356496234019 100.184365947119 101.748302481702 101.309368809436 101.824544163394
"trial32" 98.9767895176694 99.5541663814011 100.424118572106 101.694145969009 101.305405910651 101.450003189141 102.621803663144 101.224022043115 101.088658908466
"trial33" 100.931269820451 98.8870794831329 100.512475960376 100.949156587514 100.093388230367 101.279806274808 101.456626615919 101.359141269248 101.815598953589
"trial34" 100.024756967197 100.201653182138 100.504928084734 100.814492326727 99.9440426926903 100.395960768093 99.2663463114493 100.394496942382 100.607821120894
"trial35" 99.2818398529348 99.5689827052288 99.9444786765075 100.488895723981 100.296486651736 101.023050763844 102.055870771726 100.667647993955 100.535367961024
"trial36" 99.2808996678054 99.5309513598789 99.4751800650956 101.019517675455 100.746039044983 100.523641967546 100.348585697311 100.467248834894 100.309957311798
"trial37" 100.738240302778 101.128607930483 100.950674778382 100.848175840917 101.076686731018 101.842962547624 100.28564193398 100.166987269889 100.735080392813
"trial38" 99.479379859745 99.1039602541054 99.9149383935859 99.8852758685479 101.441907488071 99.957489006558 101.22680081535 100.863214389648 100.770483778007
"trial39" 100.559641873407 98.8059683669317 100.500311092785 100.552014216494 100.435274466527 101.133868981583 101.327843886848 100.467575110527 101.295344715071
"trial40" 99.6165929951033 100.115187501226 99.8589978273402 100.53822428327 100.869915735784 101.334378749711 100.380525057015 100.238147202555 100.718105167958
"trial41" 101.172619556735 101.074774258852 100.62447832537 100.348235859599 101.527565071142 101.056927366929 101.888970058663 100.844997330009 101.158124454731
"trial42" 100.6572228095 100.5356218093 100.891930460066 101.262702022216 100.643989769596 100.737987413876 101.222935767522 101.733708570844 101.588867404079
"trial43" 100.118294137591 99.5788240746566 100.876294220191 100.334885674171 101.436420042201 99.836141142738 100.852224448149 101.151292039453 101.559824377923
"trial44" 99.1539683451251 100.858510357467 100.337398296263 100.160060256517 100.190996013008 100.944474208992 100.669353959977 101.079765603527 100.430467725137
"trial45" 98.8983563861221 99.078541060193 100.169110158878 100.612400055333 99.8347256849212 101.112215053921 100.89854389399 101.530504661145 101.163031937376
"trial46" 99.2819507691229 99.8726214129803 100.037604850852 100.151606557343 99.9333620677075 101.342683466009 100.673368703082 100.599670031366 99.7681137879653
"trial47" 99.7011671558286 99.3555939323033 101.21291139866 100.633269119411 100.314051281849 100.716358851263 100.220512796513 101.110346939971 100.08378779784
"trial48" 98.7961254376746 100.89421028411 99.5704670716951 100.960797440801 100.319697650897 101.264801226821 101.31258109562 100.319857361036 101.379486602416
"trial49" 100.680375289446 99.7177145582319 101.017241879245 101.312856457517 99.5955587130911 100.992161724709 100.571445087544 99.706857168547 100.939621362135
"trial50" 99.7789957112418 99.8750936879672 100.233078772378 99.7366756273824 100.865469838719 101.10293364156 101.012399830792 100.222762226058 100.454519356493
