"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 0.0137000086022732 0.00508793839975634 0.0429238436057488 0.0411025801715826 0.0198195368206428 0.0323446642622367 0.00867096392053096 0.0258158766857936 0.0191096463306253
"trial2" 0.0141675414426321 0.00152438597547887 0.00736753639489782 0.00949110653312268 0.00317490507407308 0.0384235673290823 0.0301737775186491 0.0120943898588587 0.0296404578255361
"trial3" 0.0103831850448653 0.0305589828508389 0.0116033360649284 0.00989594949665437 0.0208980465188025 0.0243166543673229 0.0188392798716176 0.0268100002766933 0.0231726227785837
"trial4" 0.00616412515280444 0.0601009262754048 0.0175878279312747 0.0298220580064823 0.0250973835074506 0.041354564917945 0.0473188870999722 0.0101665342029222 0.0225583826632671
"trial5" 0.0033535318326403 0.0261723765350788 0.0379490327475857 0.0131770175355545 0.0177532571101605 0.00999937445179121 0.013473102454955 0.0222988108677638 0.0186677658082163
"trial6" 0.0185873256731874 0.00966450321626805 0.0172605378947141 0.00940019710938653 0.0171692705265241 0.0268264707460176 0.0091358666625543 0.0316738027734677 0.0258805823346411
"trial7" 0.0085948485596141 0.0311832853348201 0.00257303535300178 0.00509326238988801 0.0133458486301155 0.0318609449231777 0.00388826374583975 0.020658269975406 0.0119444001167785
"trial8" 0.00316334252249684 0.0116188247141303 0.00733506984760214 0.0131742384072945 0.00980884595869015 0.0164834883276544 0.0170505067669148 0.0104951508897332 0.0217800431545544
"trial9" 0.0127161537143172 0.00559464626366782 0.0115768145934122 0.0306590629277664 0.00581408852925259 0.0107505047963004 0.00569799577657267 0.0200065472451359 0.0429532801148477
"trial10" 0.00872023828679486 0.0181169168994638 0.00279858256714991 0.0143650749388393 0.0187268640600698 0.0164981464268937 0.0120454614558991 0.013689889377089 0.0170187379939072
"trial11" 0.00217946869939365 0.00260467571287875 0.00044324256562813 0.0170479182559277 0.026292288945112 0.00831771234017619 0.0218745490602631 0.0280711704708213 0.0165774290160477
"trial12" 0.000765408873159574 0.0284916945465709 0.00501806369109511 0.00786396101565785 0.0126128457573538 0.0105254768042824 0.022696873576603 0.0148102114379053 0.0290994064384651
"trial13" 0.00312489291736111 0.00848008336922807 0.0225259533397571 0.00610771218272179 0.0357575384092325 0.0136195623712697 0.0214104734221802 0.0210329495566014 0.0289884747880818
"trial14" 0.0104380295306104 0.0048195586147311 0.00734076494464484 0.00969297983580253 0.00425870336973016 0.011398353252137 0.038859071338056 0.0200212517745172 0.0213897601791287
"trial15" 0.00395629087142614 0.00878086681934048 0.0484214229767721 0.0756813792168636 0.0365818114592748 0.0428658645838017 0.00497507783991589 0.0136759604494656 0.0219620901998582
