"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 0.901336441763536 0.901545341389833 0.901845059038695 0.901908161632861 0.901388400355821 0.901780169021512 0.900840240227546 0.901093137686281 0.900869655779998
"trial2" 0.90229965329134 0.900888512002471 0.900907600105738 0.90156486579058 0.900660730746234 0.901690432435417 0.900949220565788 0.900293720551232 0.901734498350918
"trial3" 0.902350566970862 0.901605190154778 0.901116768782475 0.901307237296647 0.900552145312907 0.901259386402349 0.900458020644233 0.90169045047835 0.900975127310026
"trial4" 0.901167475601627 0.90227693355162 0.900696109102789 0.900813368467765 0.901555124709219 0.902436145394963 0.901617947132535 0.900689315495361 0.902034896325271
"trial5" 0.901373086858519 0.901656791220315 0.901472605587599 0.901428920059207 0.900702818030096 0.900913935372462 0.900396325601714 0.901525269288782 0.900480020862608
"trial6" 0.901970338483852 0.901099885652718 0.90039783109207 0.899508850321788 0.900417375634074 0.901356992067695 0.89993816450132 0.901316194195316 0.901070361765175
"trial7" 0.901364145851863 0.90176378941736 0.900003665498983 0.900263665114249 0.90113271767985 0.901710864809618 0.900479103631404 0.901713525075765 0.9013080176601
"trial8" 0.90202835491522 0.900903120315718 0.901117521734707 0.901537207992046 0.900383555043998 0.901162004462447 0.90149044483095 0.901384660529815 0.901033382864882
"trial9" 0.901484576514349 0.900981926281915 0.901365336357004 0.901260697047856 0.900933989297785 0.899979805717378 0.900235598143673 0.901086839893341 0.901482503800657
"trial10" 0.901445667934487 0.9010795553161 0.900076847948712 0.900810480737521 0.900856953341586 0.900537481875414 0.900381779282665 0.900131216103821 0.90094975672214
"trial11" 0.901206125381619 0.89989965505396 0.900905560224843 0.900584338340202 0.901564161026929 0.900877251005104 0.900286034296113 0.901692663797616 0.900575387024782
"trial12" 0.900398081397262 0.901876342998567 0.899837400419268 0.900613225743113 0.900500182030473 0.901202355253559 0.90109014860595 0.900914175141722 0.901692106206752
"trial13" 0.901606035667627 0.900785659680504 0.902057157573257 0.900926115649922 0.901621982359492 0.900980087625774 0.900972735574296 0.90099881177742 0.90140147031956
"trial14" 0.902395098703381 0.901173562827988 0.900238753117684 0.901102942368148 0.900754648934452 0.900992429345863 0.90144886464852 0.900772120350374 0.901357410076587
"trial15" 0.901499645480694 0.901780359184505 0.902450190035171 0.901367422536019 0.90221076613016 0.901127013732622 0.900470079507432 0.901338434832531 0.901656838328022
"trial16" 0.900495479672584 0.90054392868163 0.900802880427787 0.900076774426412 0.901894368435055 0.901754934346916 0.900978495209287 0.901410732813384 0.900529865979939
"trial17" 0.901814634016572 0.900712691565512 0.9007976416991 0.901135667190956 0.900687999506824 0.900552678029776 0.900261038524568 0.900801814014563 0.901765099435013
"trial18" 0.901436430917503 0.9021018153181 0.90191453451876 0.901798766271362 0.900703586315033 0.90074253630526 0.900129935019614 0.900911906831766 0.901812813838624
"trial19" 0.902655159697574 0.901014489083994 0.90203166665727 0.899962939347672 0.900997595938318 0.900203343160413 0.900895045086038 0.901311615158889 0.900315320036308
"trial20" 0.900334055793222 0.900514257824251 0.901432484191894 0.902223537383506 0.901992254540547 0.900708074719114 0.900462278375554 0.901024027979919 0.900780106473611
"trial21" 0.900559946770219 0.900586248703542 0.901482959035139 0.900192460598783 0.900766667545578 0.900424307674703 0.901148030104356 0.90060100592794 0.900996460400365
"trial22" 0.903154576996214 0.902128455657126 0.90075565608925 0.898945705165547 0.900786169339884 0.901135001748598 0.900128996904728 0.901101629215345 0.901002689345492
"trial23" 0.902092322986737 0.900856583808836 0.902072257221514 0.900923763163282 0.901152056563963 0.901325307786191 0.900317077627811 0.900769347277402 0.900554331701371
