"Inaccuracy" "Seconds"
"seed=1" 71.57390761101 129.236
"seed=2" 65.8920064655673 122.707
"seed=3" 64.1839264025471 105.456
"seed=4" 63.7515912682194 129.27
"seed=5" 78.0209343260446 93.685
"seed=6" 92.8682181738507 125.855
"seed=7" 101.362185913836 101.818
"seed=8" 70.3071015857451 106.128
"seed=9" 63.7065353094443 109.723
"seed=10" 64.5915885210298 113.641
"seed=11" 66.3398953335905 107.909
"seed=12" 65.7809998649244 96.396
"seed=13" 106.278320914948 96.615
"seed=14" 79.902393885519 97.599
"seed=15" 78.1081792299301 103.789
"seed=16" 65.5811030443211 111.95
"seed=17" 70.8981964433142 163.492
"seed=18" 63.6978151223542 99.921
"seed=19" 63.6308902731446 117.92
"seed=20" 65.2912968264548 138.781
"seed=21" 70.5407704446449 119.087
"seed=22" 85.8066986904371 96.924
"seed=23" 65.621998418169 114.774
"seed=24" 64.9015413885662 107.098
"seed=25" 71.3907170226908 109.591
"seed=26" 71.7870060698535 105.534
"seed=27" 102.299556440969 101.075
"seed=28" 63.7019998896483 111.766
"seed=29" 68.0526943206336 109.344
"seed=30" 66.2166219060324 94.326
"seed=31" 67.3869033419216 102.911
"seed=32" 65.6063128318891 110.025
"seed=33" 90.427939945989 99.351
"seed=34" 68.7615923077026 114.209
"seed=35" 70.384772555501 127.606
"seed=36" 64.8277168404885 100.896
"seed=37" 63.7484744772027 109.226
"seed=38" 63.717083897718 92.388
"seed=39" 90.5180387240878 124.222
"seed=40" 63.6826535570443 103.573
"seed=41" 68.1441643811467 101.238
"seed=42" 83.8245066991492 98.472
"seed=43" 66.6829878616955 100.47
"seed=44" 63.6095955234793 111.449
"seed=45" 63.7893338010845 104.765
"seed=46" 70.2632837802048 98.643
"seed=47" 76.8589897292042 91.426
"seed=48" 64.4140674589301 146.123
"seed=49" 64.1958646202398 95.889
"seed=50" 66.1128781527573 83.058
"seed=51" 63.6338233962855 98.451
"seed=52" 64.8713729799656 93.962
"seed=53" 72.3343504979043 105.91
"seed=54" 66.8165079024382 163.248
"seed=55" 67.5130295000879 103.019
"seed=56" 67.2563646899303 116.721
"seed=57" 68.222996452492 111.98
"seed=58" 85.965466270851 94.747
"seed=59" 64.9309863403061 133.185
"seed=60" 63.7098861107542 102.317
"seed=61" 72.9189634076038 103.629
"seed=62" 78.8437286580209 115.236
"seed=63" 88.2284766142831 97.191
"seed=64" 64.0733531746782 136.221
"seed=65" 66.5936584488618 98.261
"seed=66" 67.9988310469093 114.42
"seed=67" 77.2052098633416 114.604
"seed=68" 65.0963859327707 129.997
"seed=69" 73.7882597911827 103.167
"seed=70" 64.0158423477657 150.567
"seed=71" 64.6876937878004 105.149
"seed=72" 65.3149260625044 110.162
"seed=73" 64.2460229341451 110.139
"seed=74" 71.2465766658482 125.642
"seed=75" 64.0086115088903 101.41
"seed=76" 63.6688639106563 102.962
"seed=77" 70.7721605440487 89.803
"seed=78" 67.7896059670434 107.602
"seed=79" 64.0011004189303 94.805
"seed=80" 76.8008906114816 110.561
"seed=81" 69.1101964800874 90.785
"seed=82" 64.6373329949526 99.372
"seed=83" 68.1262534969693 140.411
"seed=84" 105.022892199297 104.031
"seed=85" 63.6958987805684 90.996
"seed=86" 64.8772674137375 107.147
"seed=87" 64.3711630056607 114.604
"seed=88" 70.7702955395772 93.921
"seed=89" 64.5647091623377 125.645
"seed=90" 64.7394573270141 105.482
"seed=91" 63.6921599955273 159.923
"seed=92" 67.8882474464515 110.511
"seed=93" 92.57750223448 125.435
"seed=94" 65.0435253902824 115.406
"seed=95" 67.2445602024295 101.013
"seed=96" 69.9420069618608 114.954
"seed=97" 64.0208282902566 103.271
"seed=98" 66.9175858199813 126.874
"seed=99" 69.028853614801 121.587
"seed=100" 65.3137725349559 99.745
