"Inaccuracy" "Seconds"
"seed=1" 511.075151159376 0.505
"seed=2" 408.166400191053 0.476
"seed=3" 551.818185569694 0.495
"seed=4" 427.019801181994 0.473
"seed=5" 440.298041146937 0.505
"seed=6" 469.284001242799 0.477
"seed=7" 425.910538815354 0.504
"seed=8" 426.985675821072 0.488
"seed=9" 413.317995662133 0.484
"seed=10" 448.98695394127 0.503
"seed=11" 459.418563034829 0.458
"seed=12" 471.4787845989 0.514
"seed=13" 523.463359402174 0.481
"seed=14" 412.292385918706 0.473
"seed=15" 409.272600222825 0.495
"seed=16" 439.856413427341 0.504
"seed=17" 448.178195879034 0.494
"seed=18" 413.52471280513 0.512
"seed=19" 437.877013484781 0.477
"seed=20" 435.853769114771 0.487
"seed=21" 452.750204617924 0.476
"seed=22" 432.786879949046 0.486
"seed=23" 396.05968503219 0.503
"seed=24" 402.041663170252 0.493
"seed=25" 481.821954530058 0.472
"seed=26" 473.189653693146 0.523
"seed=27" 509.358244812146 0.486
"seed=28" 435.266834703121 0.464
"seed=29" 438.865957412937 0.46
"seed=30" 467.372260835548 0.473
"seed=31" 419.9568238354 0.49
"seed=32" 497.319329434385 0.5
"seed=33" 400.350292959729 0.516
"seed=34" 446.267230512264 0.487
"seed=35" 445.501622016914 0.477
"seed=36" 422.171112197264 0.471
"seed=37" 485.929546260178 0.507
"seed=38" 491.899757613035 0.487
"seed=39" 411.491130431185 0.495
"seed=40" 577.321062808577 0.496
"seed=41" 403.004638953669 0.491
"seed=42" 461.813978182955 0.477
"seed=43" 414.651633175815 0.449
"seed=44" 448.023888808049 0.468
"seed=45" 435.01483418992 0.465
"seed=46" 472.699797477929 0.517
"seed=47" 412.525159901379 0.476
"seed=48" 432.24235833877 0.486
"seed=49" 419.092710865719 0.499
"seed=50" 455.483543079992 0.498
"seed=51" 445.473941984048 0.518
"seed=52" 585.036883227817 0.471
"seed=53" 457.303573175417 0.462
"seed=54" 417.198727656731 0.475
"seed=55" 417.731990535116 0.482
"seed=56" 398.923583346113 0.469
"seed=57" 444.43350603138 0.505
"seed=58" 488.701370808218 0.482
"seed=59" 418.110285886962 0.467
"seed=60" 449.68455177851 0.46
"seed=61" 408.861521190961 0.483
"seed=62" 418.414213844758 0.483
"seed=63" 425.962901210788 0.478
"seed=64" 455.239570753777 0.474
"seed=65" 487.581430756383 0.483
"seed=66" 407.770840039322 0.501
"seed=67" 484.75722379587 0.467
"seed=68" 450.879417356853 0.464
"seed=69" 464.719962511965 0.486
"seed=70" 503.393854343197 0.453
"seed=71" 430.420244589506 0.477
"seed=72" 460.201547827209 0.464
"seed=73" 462.036257915379 0.441
"seed=74" 441.463300397915 0.458
"seed=75" 421.876050800747 0.455
"seed=76" 454.601723599251 0.483
"seed=77" 370.545543181256 0.448
"seed=78" 503.560656324215 0.475
"seed=79" 415.459211701709 0.491
"seed=80" 421.149513869876 0.447
"seed=81" 476.776511910995 0.484
"seed=82" 511.097171077389 0.526
"seed=83" 442.617699520831 0.442
"seed=84" 399.445797200697 0.448
"seed=85" 449.408508801022 0.486
"seed=86" 487.575941330109 0.502
"seed=87" 496.010922854998 0.495
"seed=88" 526.689415686387 0.477
"seed=89" 500.491133424651 0.466
"seed=90" 440.915068578751 0.476
"seed=91" 494.154786374391 0.501
"seed=92" 515.901639787449 0.483
"seed=93" 445.564554846516 0.49
"seed=94" 570.682093101344 0.454
"seed=95" 435.138954823115 0.471
"seed=96" 469.152734404538 0.495
"seed=97" 425.469264117876 0.483
"seed=98" 448.291229347118 0.452
"seed=99" 511.361281852782 0.478
"seed=100" 429.882376285965 0.469
