"Inaccuracy" "Seconds"
"seed=1" 4.82433119047413 0.603
"seed=2" 1.34234190596686 0.515
"seed=3" 0.146212868941299 0.494
"seed=4" 7.8003300069505 0.469
"seed=5" 2.19480349303894 0.542
"seed=6" 0.920144041771762 0.491
"seed=7" 1.4157553682751 0.489
"seed=8" 30.3659272633517 0.505
"seed=9" 8.32212479892573 0.516
"seed=10" 20.5889901171973 0.506
"seed=11" 0.81707417070191 0.542
"seed=12" 5.59390461660818 0.561
"seed=13" 1.84466378055016 0.504
"seed=14" 0.154273433688674 0.496
"seed=15" 19.2928462533751 0.529
"seed=16" 1.79152687938395 0.451
"seed=17" 10.2073863900922 0.478
"seed=18" 4.37286200740284 0.693
"seed=19" 1.58239365934428 0.492
"seed=20" 7.46337625277987 0.483
"seed=21" 6.34908730096195 0.469
"seed=22" 2.748624672578 0.533
"seed=23" 10.1510295300599 0.5
"seed=24" 2.57782285296187 0.517
"seed=25" 14.2443330005851 0.477
"seed=26" 0.109817770282943 0.507
"seed=27" 1.58727705632842 0.502
"seed=28" 8.372039034393 0.492
"seed=29" 5.29306401958686 0.488
"seed=30" 7.74917952783023 0.507
"seed=31" 14.2393628775373 0.475
"seed=32" 1.3465083275269 0.484
"seed=33" 2.13346102098095 0.478
"seed=34" 0.986287589242205 0.5
"seed=35" 3.95498943603649 0.507
"seed=36" 0.35121944163803 0.499
"seed=37" 2.98121141314001 0.464
"seed=38" 26.4247212904831 0.459
"seed=39" 2.17801561645865 0.507
"seed=40" 3.80878212999465 0.475
"seed=41" 1.49837334303932 0.503
"seed=42" 1.10751058208456 0.471
"seed=43" 1.38698649036279 0.477
"seed=44" 12.0291454760586 0.519
"seed=45" 9.11340306592956 0.497
"seed=46" 11.899640673676 0.492
"seed=47" 1.37259343284693 0.472
"seed=48" 14.3030515131885 0.498
"seed=49" 3.61412912168054 0.48
"seed=50" 3.14186704154976 0.505
"seed=51" 6.938043727354 0.551
"seed=52" 1.13434511595611 0.477
"seed=53" 2.01884514623335 0.508
"seed=54" 5.95853634865111 0.454
"seed=55" 0.583374225260411 0.554
"seed=56" 19.5236233222028 0.5
"seed=57" 0.854572514571167 0.507
"seed=58" 8.3640973847993 0.492
"seed=59" 3.18879921199014 0.509
"seed=60" 0.913939643481089 0.722
"seed=61" 4.29832387589982 0.49
"seed=62" 2.28284660860284 0.501
"seed=63" 1.00060651741731 0.497
"seed=64" 1.9673506145765 0.448
"seed=65" 5.76402873178996 0.494
"seed=66" 0.216224112373171 0.507
"seed=67" 0.289122679067431 0.558
"seed=68" 0.0925885711600342 0.508
"seed=69" 1.59802544320197 0.528
"seed=70" 9.94375829256941 0.553
"seed=71" 2.67112872703412 0.501
"seed=72" 3.2417067842016 0.527
"seed=73" 1.50217492807538 0.499
"seed=74" 6.48612674400114 0.543
"seed=75" 6.89904854295563 0.458
"seed=76" 3.66394322798015 0.49
"seed=77" 3.16057168538688 0.487
"seed=78" 1.59011094534533 0.542
"seed=79" 19.3955592551726 0.474
"seed=80" 2.97578004947661 0.464
"seed=81" 0.883182859303966 0.483
"seed=82" 5.51898233937078 0.48
"seed=83" 1.70580185438497 0.521
"seed=84" 15.4769702460294 0.452
"seed=85" 31.8307790367048 0.504
"seed=86" 3.56070105886992 0.503
"seed=87" 4.21457786753377 0.499
"seed=88" 2.51287873868624 0.516
"seed=89" 2.61563108471331 0.52
"seed=90" 5.99035791697409 0.532
"seed=91" 0.660123972503471 0.468
"seed=92" 2.35557235315003 0.473
"seed=93" 2.20492640586813 0.468
"seed=94" 13.018854915892 0.547
"seed=95" 13.2055120370582 0.47
"seed=96" 5.49473558544174 0.598
"seed=97" 2.6112391570938 0.533
"seed=98" 0.620810560337158 0.494
"seed=99" 0.17242144946388 0.5
"seed=100" 2.06281302554729 0.49
