"Inaccuracy" "Seconds"
"seed=1" 0.00982670007884793 112.874
"seed=2" 0.0177703885847485 248.382
"seed=3" 0.0684555837880745 123.704
"seed=4" 0.0153822831226828 157.132
"seed=5" 0.000549857953945841 160.96
"seed=6" 0.0707074799059231 161.786
"seed=7" 0.00903007732800958 245.063
"seed=8" 0.0312727326840537 154.983
"seed=9" 0.00660022043442934 247.782
"seed=10" 0.0284391603744339 287.771
"seed=11" 0.00235341496027543 163.509
"seed=12" 0.00227569159673788 168.867
"seed=13" 0.0201374525932248 298.346
"seed=14" 0.00150085056061346 251.343
"seed=15" 0.00073261274561872 389.944
"seed=16" 0.0355788876635635 279.585
"seed=17" 0.000967621411146752 260.345
"seed=18" 0.00908645349881999 159.285
"seed=19" 0.0246028282324581 169.858
"seed=20" 0.0115926755423963 285.475
"seed=21" 0.0249233772702366 167.541
"seed=22" 0.0959476847460405 172.341
"seed=23" 0.00302026569403538 282.41
"seed=24" 0.030665244625211 167.255
"seed=25" 0.00359708332779477 413.556
"seed=26" 0.000723737750582579 190.232
"seed=27" 0.000659550678277202 166.782
"seed=28" 0.000266800029624671 166.927
"seed=29" 0.00949583533238642 152.438
"seed=30" 0.00433767423626638 248.195
"seed=31" 0.00211241149591192 266.649
"seed=32" 0.0285312231051379 157.165
"seed=33" 0.00356312089121525 142.071
"seed=34" 0.00878078195283 152.041
"seed=35" 0.00250402134498897 297.076
"seed=36" 0.00893136069950823 271.643
"seed=37" 0.00216049308238907 200.961
"seed=38" 0.0198491235417828 242.528
"seed=39" 0.00851908239583809 176.031
"seed=40" 0.064338499503635 259.888
"seed=41" 0.00621072817341129 256.927
"seed=42" 0.00293560853208048 192.253
"seed=43" 0.00298104429712975 156.178
"seed=44" 0.00151104801833494 270.309
"seed=45" 0.0379627449733775 144.188
"seed=46" 0.00139433155986862 254.476
"seed=47" 0.0318593799553807 155.189
"seed=48" 0.0223206134878852 247.513
"seed=49" 0.0196015348853358 264.124
"seed=50" 0.00791853510376119 249.776
"seed=51" 0.0407943723695083 136.383
"seed=52" 0.00383515819827349 247.948
"seed=53" 0.00118010919536438 257.829
"seed=54" 0.00407894683831808 131.718
"seed=55" 0.0248648253967617 254.427
"seed=56" 0.0151149392662899 195.974
"seed=57" 0.00181847022263846 260.465
"seed=58" 0.00699127907023141 151.244
"seed=59" 0.0121359911554876 364.529
"seed=60" 0.00148456256900221 159.105
"seed=61" 0.000820055801598925 257.5
"seed=62" 0.00861979600821716 151.922
"seed=63" 0.0174926062659917 164.662
"seed=64" 0.0100024366247632 163.28
"seed=65" 0.0134283373496732 251.67
"seed=66" 0.0811636296887481 167.447
"seed=67" 0.000311473955255985 238.493
"seed=68" 0.00660992901325732 121.106
"seed=69" 0.00239902737891273 239.622
"seed=70" 4.52305827453295e-06 120.296
"seed=71" 0.0148618082531933 144.726
"seed=72" 0.0843156756262267 265.525
"seed=73" 0.0343568601483428 239.665
"seed=74" 0.0513679185465196 244.749
"seed=75" 0.0523346025423356 137.762
"seed=76" 0.000992570990529377 154.909
"seed=77" 0.0749622241600711 150.58
"seed=78" 0.025365853568006 154.345
"seed=79" 0.0144234307125151 121.432
"seed=80" 0.0191369783698713 240.817
"seed=81" 0.00818922662445768 120.333
"seed=82" 0.00746616045734475 133.255
"seed=83" 0.024697360361948 128.35
"seed=84" 0.00211782645532666 135.865
"seed=85" 0.0252584274711974 137.716
"seed=86" 0.00873886392013601 90.382
"seed=87" 0.00770784232289936 130.134
"seed=88" 0.00656916378587748 158.738
"seed=89" 0.00282072829612856 132.596
"seed=90" 0.0625876213966973 137.331
"seed=91" 0.0485691816140358 273.527
"seed=92" 0.010983554976525 144.203
"seed=93" 0.006412233100043 89.942
"seed=94" 0.0182693498793081 156.562
"seed=95" 0.0256178451591013 127.822
"seed=96" 0.0836305674318522 115.707
"seed=97" 0.000621855807035431 119.046
"seed=98" 0.00560394076404676 148.865
"seed=99" 0.0219510908008171 153.684
"seed=100" 0.0185732433210177 229.599
