"Inaccuracy" "Seconds"
"seed=1" 0.0112687241196845 84.802
"seed=2" 0.00523980295106742 96.212
"seed=3" 0.031916732102342 129.14
"seed=4" 0.102261775538404 128.323
"seed=5" 4.98491110379116e-05 139.034
"seed=6" 0.0628056302548023 85.318
"seed=7" 0.109385104488695 147.754
"seed=8" 0.0360648047324396 76.125
"seed=9" 0.045056586260077 69.457
"seed=10" 0.00641071068121988 75.621
"seed=11" 0.147179010712058 78.206
"seed=12" 0.00146366384992066 124.975
"seed=13" 0.00868112664027759 69.134
"seed=14" 0.024357492213037 82.075
"seed=15" 0.0384098224271274 82.152
"seed=16" 0.000569044500611981 72.958
"seed=17" 0.00513796443868711 70.754
"seed=18" 0.0272327042530351 47.8
"seed=19" 0.00618481735336964 90.852
"seed=20" 0.0581262394222061 96.978
"seed=21" 0.0542268694772258 69.408
"seed=22" 0.0866330997487202 146.56
"seed=23" 0.167172763037885 108.228
"seed=24" 0.0354541020225257 93.985
"seed=25" 0.0190901794086507 152.697
"seed=26" 0.0550477847961701 96.84
"seed=27" 0.00675858406919814 94.48
"seed=28" 0.00610611734753992 140.312
"seed=29" 0.0394094469563629 140.378
"seed=30" 0.0140612307096216 82.534
"seed=31" 0.0218785738341744 92.279
"seed=32" 0.00391911211835257 143.241
"seed=33" 0.0152748606521146 80.163
"seed=34" 0.00169807351125018 85.185
"seed=35" 0.11223539783275 63.252
"seed=36" 0.0518212850005243 85.137
"seed=37" 0.00713985041231741 94.795
"seed=38" 0.0179826708180272 70.6
"seed=39" 0.00516895192565831 194.983
"seed=40" 0.0184561843201712 121.567
"seed=41" 0.0189717090448004 121.637
"seed=42" 0.0527132463759832 92.513
"seed=43" 0.0282089691650036 92.66
"seed=44" 0.0799697564460419 151.402
"seed=45" 0.0078411124101926 124.019
"seed=46" 0.00682755322454475 146.424
"seed=47" 0.00458318692381359 144.18
"seed=48" 0.00416909933180322 71.29
"seed=49" 0.0121732414339928 95.984
"seed=50" 0.0147372809416713 92.729
"seed=51" 0.0007451996936707 75.223
"seed=52" 0.0088785918204563 111.582
"seed=53" 0.00675270368583124 140.077
"seed=54" 0.00352552934049869 81.537
"seed=55" 0.000504207882239344 84.598
"seed=56" 0.00188992562326138 76.985
"seed=57" 0.00402155823487862 72.215
"seed=58" 0.0102068573596928 137.54
"seed=59" 0.00655615250695209 139.135
"seed=60" 0.0890331143075406 182.651
"seed=61" 0.000405538265877269 145.224
"seed=62" 0.0146771071679064 78.875
"seed=63" 0.0524313323149126 129.066
"seed=64" 0.0146121625332385 90.206
"seed=65" 0.00320658576443805 181.67
"seed=66" 0.00880482795509617 149.153
"seed=67" 0.0516290976472437 69.86
"seed=68" 0.00859435824809406 61.342
"seed=69" 0.0332135036699657 68.359
"seed=70" 0.0686460698643523 76.419
"seed=71" 0.00829799417493865 101.583
"seed=72" 0.037318349080794 84.02
"seed=73" 0.00124488074423859 116.122
"seed=74" 0.011927965090013 63.628
"seed=75" 0.00388288397997577 48.049
"seed=76" 0.00322004239255123 136.457
"seed=77" 0.00145549237078779 78.255
"seed=78" 0.000291892974818422 138.811
"seed=79" 0.0701345879686867 137.674
"seed=80" 0.00890123734835379 112.69
"seed=81" 0.044981359731941 94.917
"seed=82" 0.0910219513399929 112.972
"seed=83" 0.00150981720296971 97.52
"seed=84" 0.0126197991837265 131.246
"seed=85" 0.0607868826369564 130.624
"seed=86" 0.00608647374701307 83.398
"seed=87" 0.00105684006560257 197.832
"seed=88" 0.0925961299326375 75.311
"seed=89" 0.0659048650423914 114.693
"seed=90" 0.0160399504314541 85.798
"seed=91" 0.00219644942432843 88.431
"seed=92" 0.000558807518968652 66.272
"seed=93" 0.0523320160077198 76.364
"seed=94" 0.0275310949185647 70.268
"seed=95" 0.00370278739218865 83.538
"seed=96" 0.0313298967904718 62.342
"seed=97" 0.00159602706254493 124.574
"seed=98" 0.00550183415234238 98.657
"seed=99" 0.00132898574307601 140.011
"seed=100" 0.00680729644350111 97.404
