"Inaccuracy" "Seconds"
"seed=1" 0.00487281246914519 6.088
"seed=2" 0.000494871726318068 9.016
"seed=3" 0.0943815310587996 6.053
"seed=4" 0.0289199282187705 8.001
"seed=5" 0.0145513018458701 9.349
"seed=6" 0.0790905186376504 6.061
"seed=7" 0.0311025305606152 8.328
"seed=8" 0.40613244418529 9.623
"seed=9" 0.052109605262813 4.263
"seed=10" 0.0743354102379296 5.729
"seed=11" 0.0381866450932802 8.987
"seed=12" 0.209975552353819 5.388
"seed=13" 0.0518806182472137 6.059
"seed=14" 0.0286691160064454 5.556
"seed=15" 0.0229482529268781 9.118
"seed=16" 0.0289457317353258 8.963
"seed=17" 0.0236964643421484 5.569
"seed=18" 0.0378680224059345 10.277
"seed=19" 0.0106157682885034 7.35
"seed=20" 0.00474247608168836 9.815
"seed=21" 0.00339669057514443 4.095
"seed=22" 0.0137284379425499 9.615
"seed=23" 0.0195922934817855 4.925
"seed=24" 0.201415755686257 5.558
"seed=25" 0.0943422684807621 5.223
"seed=26" 0.157739537918094 8.886
"seed=27" 0.02256511385967 5.332
"seed=28" 0.00915276901610209 7.224
"seed=29" 0.0605434151482103 4.181
"seed=30" 0.0222551901187904 8.949
"seed=31" 0.00583771891348209 5.778
"seed=32" 0.0654409110348317 9.131
"seed=33" 0.00411266142912383 9.601
"seed=34" 0.00478290931885502 3.843
"seed=35" 0.00313953622382005 6.566
"seed=36" 0.0435649794545268 5.745
"seed=37" 0.0417682743247949 4.973
"seed=38" 0.0203073069969624 4.494
"seed=39" 0.00827623802818235 5.764
"seed=40" 0.0909158920735344 6.267
"seed=41" 0.0321151802278467 9.795
"seed=42" 0.091631772128569 5.774
"seed=43" 0.0329178562150583 6.089
"seed=44" 0.107361760391245 5.921
"seed=45" 0.0330731252993773 8.666
"seed=46" 0.004049085080534 4.66
"seed=47" 0.0567853262154525 9.597
"seed=48" 0.00948439948927408 4.035
"seed=49" 0.0722030718404123 4.504
"seed=50" 0.00506814338166512 9.133
"seed=51" 0.0189596942283699 8.647
"seed=52" 0.00277102351818813 6.25
"seed=53" 0.00381752474722314 8.666
"seed=54" 0.0269240541188978 5.45
"seed=55" 0.0290653502020887 10.103
"seed=56" 0.0145403981727496 4.815
"seed=57" 0.006713676065016 3.057
"seed=58" 0.0508814223504842 7.045
"seed=59" 0.0404830931231991 10.401
"seed=60" 0.016281035754989 5.78
"seed=61" 0.0223842023470397 5.61
"seed=62" 0.00174918485139742 5.768
"seed=63" 0.0332585701544805 5.468
"seed=64" 0.0206862529901997 8.986
"seed=65" 0.0204489348858763 9.49
"seed=66" 0.227499603155876 4.849
"seed=67" 0.0630305613311928 8.534
"seed=68" 0.133547767505529 5.639
"seed=69" 0.0317272615247648 13.184
"seed=70" 0.0692296205368994 5.466
"seed=71" 0.0323167958038383 9.012
"seed=72" 0.00240224206496127 9.471
"seed=73" 0.00298055475221097 5.475
"seed=74" 0.0040208993477546 5.649
"seed=75" 0.00579391779570232 5.66
"seed=76" 0.0487713458622407 9.014
"seed=77" 0.0150490923286331 4.356
"seed=78" 0.0245300624287854 7.087
"seed=79" 0.00236833139815072 8.703
"seed=80" 0.000609037887674866 4.988
"seed=81" 1.28285596470966e-05 5.961
"seed=82" 0.074401606820194 9.17
"seed=83" 0.100734210967379 5.966
"seed=84" 0.140685291409355 4.199
"seed=85" 0.0299866113261203 5.163
"seed=86" 0.0460801904818514 10.617
"seed=87" 0.0126097715371129 5.972
"seed=88" 0.0311484304122094 3.561
"seed=89" 0.00984707083638998 4.512
"seed=90" 0.0108678952924431 4.523
"seed=91" 0.00968855603244714 9.497
"seed=92" 0.0377099081642807 9.807
"seed=93" 0.104820091145228 3.257
"seed=94" 0.0112651986976274 5.009
"seed=95" 0.00578402123211005 9.012
"seed=96" 0.0673229656824289 5.33
"seed=97" 0.0206329225827514 3.4
"seed=98" 0.0359314406193118 9.335
"seed=99" 0.194257360279615 5.968
"seed=100" 0.0851197019879747 9.504
