"Inaccuracy" "Seconds"
"seed=1" 1.34470597051226 1.85
"seed=2" 0.636878673961483 2.25
"seed=3" 0.789362376017334 2.023
"seed=4" 1.02251011209184 1.775
"seed=5" 3.6094256787403 2.015
"seed=6" 1.58835249772392 1.937
"seed=7" 0.346808228513631 2.216
"seed=8" 5.04986950927852 1.835
"seed=9" 0.542240778530347 2.274
"seed=10" 0.192142221615839 2.174
"seed=11" 0.0178797252915173 2.724
"seed=12" 1.74177213335791 2.28
"seed=13" 3.14368522810462 2.193
"seed=14" 1.19160690701007 2.262
"seed=15" 2.63500876376066 2.289
"seed=16" 0.273700322612054 2.304
"seed=17" 0.991714082070281 2.468
"seed=18" 4.25105923121331 2.329
"seed=19" 0.0671760730545403 2.33
"seed=20" 0.272465898643746 2.38
"seed=21" 0.433423588326417 2.535
"seed=22" 1.14427221116742 2.199
"seed=23" 0.113452137381653 2.244
"seed=24" 1.16036749304222 2.196
"seed=25" 0.961083245668288 2.2
"seed=26" 0.0149798051108744 2.209
"seed=27" 0.0212152927077328 2.177
"seed=28" 0.322475918894775 2.105
"seed=29" 1.90387127420287 2.202
"seed=30" 1.19982386555505 2.095
"seed=31" 0.958539812725651 2.307
"seed=32" 2.16375190289291 2.119
"seed=33" 4.90526314902534 2.311
"seed=34" 0.407453094408888 2.346
"seed=35" 0.194082089224574 2.175
"seed=36" 0.678088008810983 2.214
"seed=37" 6.19937295344844 2.142
"seed=38" 0.216844014817136 2.519
"seed=39" 0.291625465161098 1.92
"seed=40" 1.05803810499752 2.141
"seed=41" 0.597506242346921 2.016
"seed=42" 2.03061792802382 2.104
"seed=43" 1.26435603156433 2.31
"seed=44" 0.135705739344518 2.269
"seed=45" 0.432516629232857 2.166
"seed=46" 0.794176844951062 2.144
"seed=47" 0.796366288080323 2.216
"seed=48" 0.13658665916814 2.229
"seed=49" 0.304648691711454 2.021
"seed=50" 8.81084195063121 1.964
"seed=51" 1.17558215519008 2.356
"seed=52" 1.59141957962549 2.212
"seed=53" 0.174548230884714 1.959
"seed=54" 0.675873520091203 2.186
"seed=55" 11.3134841872442 1.906
"seed=56" 2.91474466338843 1.822
"seed=57" 6.04032738516938 1.951
"seed=58" 0.339075513567659 2.271
"seed=59" 0.896231207837837 2.109
"seed=60" 0.518556492406918 2.282
"seed=61" 5.49244154907249 2.302
"seed=62" 0.240553419766685 2.18
"seed=63" 1.2295516687098 2.101
"seed=64" 0.388532239242451 2.259
"seed=65" 0.237828059411007 2.118
"seed=66" 2.90163306328296 2.083
"seed=67" 0.508172808649616 2.043
"seed=68" 0.316853828641697 2.261
"seed=69" 2.74757140644719 2.212
"seed=70" 3.09060085614982 1.892
"seed=71" 2.80652546492333 1.855
"seed=72" 0.573238588570774 1.971
"seed=73" 0.123051430785846 1.848
"seed=74" 1.72756184060403 1.915
"seed=75" 3.90785800609957 2.064
"seed=76" 0.000257480673361846 2.145
"seed=77" 0.182604071001984 2.006
"seed=78" 0.146228060202154 1.784
"seed=79" 2.99155358044315 1.962
"seed=80" 0.150256380250229 2
"seed=81" 1.13075449328634 2.104
"seed=82" 2.82797409152565 1.823
"seed=83" 2.88855159579535 1.957
"seed=84" 0.42656890516895 1.996
"seed=85" 0.284022690115281 2.033
"seed=86" 0.849735263484749 2.217
"seed=87" 0.666272664769119 1.843
"seed=88" 6.75994808665394 1.671
"seed=89" 5.41653425589776 1.945
"seed=90" 0.0451097275893423 2.031
"seed=91" 0.166134195969738 2.009
"seed=92" 0.183404653049981 1.797
"seed=93" 1.36095462383327 1.932
"seed=94" 0.666407529729463 2.068
"seed=95" 0.558803217617491 1.729
"seed=96" 0.541194178823484 2.073
"seed=97" 0.791453750661789 1.789
"seed=98" 0.148401217885813 2.178
"seed=99" 1.36543290008075 2.051
"seed=100" 0.408565853018327 1.982
