"Inaccuracy" "Seconds"
"seed=1" 0.201738975788923 0.542
"seed=2" 6.18250168665081 0.493
"seed=3" 0.19021344008473 0.471
"seed=4" 23.9836188305325 0.439
"seed=5" 2.23638498446916 0.466
"seed=6" 22.6186527844633 0.471
"seed=7" 8.92371470604911 0.459
"seed=8" 19.8976176890071 0.465
"seed=9" 11.5712620477531 0.399
"seed=10" 2.85169460552364 0.418
"seed=11" 9.40769165839869 0.422
"seed=12" 12.5146936072935 0.444
"seed=13" 25.9010432982779 0.381
"seed=14" 27.1374722105985 0.327
"seed=15" 29.2838017618475 0.528
"seed=16" 1.34040710931186 0.457
"seed=17" 2.29801685230955 0.434
"seed=18" 5.65555508662577 0.501
"seed=19" 0.448159541109717 0.482
"seed=20" 39.9222679784405 0.457
"seed=21" 53.8327893763955 0.465
"seed=22" 1.03272346336719 0.514
"seed=23" 14.4384458252754 0.431
"seed=24" 80.0279175082612 0.421
"seed=25" 1.46034702274013 0.46
"seed=26" 11.0802846319471 0.482
"seed=27" 9.62565291129094 0.453
"seed=28" 9.28525470029495 0.49
"seed=29" 24.2083507694548 0.454
"seed=30" 1.21550641859026 0.501
"seed=31" 5.30774711521551 0.49
"seed=32" 17.5655924387962 0.481
"seed=33" 13.18941235446 0.477
"seed=34" 53.1547831552067 0.435
"seed=35" 84.431003816359 0.468
"seed=36" 6.69012295769197 0.398
"seed=37" 2.85363916790609 0.389
"seed=38" 14.9071562985575 0.42
"seed=39" 4.53092728174351 0.516
"seed=40" 15.2732375335109 0.451
"seed=41" 19.1961413283293 0.456
"seed=42" 3.95275538481793 0.401
"seed=43" 53.5942425337774 0.465
"seed=44" 0.505656891894753 0.432
"seed=45" 10.9581172882002 0.455
"seed=46" 18.3370099996389 0.512
"seed=47" 20.0418243722233 0.434
"seed=48" 12.2736642239303 0.424
"seed=49" 0.698003334198452 0.462
"seed=50" 18.088341481 0.509
"seed=51" 2.05228311003052 0.435
"seed=52" 8.53334445728553 0.461
"seed=53" 7.97450316120055 0.464
"seed=54" 5.28678910259038 0.525
"seed=55" 1.72498519575575 0.424
"seed=56" 3.04451911521269 0.42
"seed=57" 16.4632468322435 0.427
"seed=58" 10.6553621302806 0.504
"seed=59" 1.3126448589555 0.447
"seed=60" 4.29262159737048 0.425
"seed=61" 3.90476720329533 0.528
"seed=62" 10.8251440518017 0.415
"seed=63" 34.2361014459134 0.446
"seed=64" 3.16778488488411 0.426
"seed=65" 12.6531590497269 0.472
"seed=66" 53.5741863010238 0.522
"seed=67" 14.9402504956667 0.407
"seed=68" 2.90880925702265 0.454
"seed=69" 13.9668218344672 0.467
"seed=70" 5.27650027122234 0.507
"seed=71" 29.939151237592 0.446
"seed=72" 41.1966262597321 0.433
"seed=73" 3.92445261845976 0.516
"seed=74" 6.13674398685816 0.385
"seed=75" 10.0450774217308 0.503
"seed=76" 1.48507014525042 0.425
"seed=77" 5.83645110326268 0.384
"seed=78" 0.963137857210482 0.454
"seed=79" 29.2116513342734 0.47
"seed=80" 2.73453824330768 0.459
"seed=81" 3.34665685942409 0.421
"seed=82" 15.5805874945392 0.447
"seed=83" 4.81633805433474 0.433
"seed=84" 28.1747299146857 0.434
"seed=85" 37.795206953168 0.481
"seed=86" 0.262110797196623 0.459
"seed=87" 0.373984284493095 0.406
"seed=88" 0.552432649011345 0.392
"seed=89" 19.5343677677786 0.486
"seed=90" 9.75571305004001 0.57
"seed=91" 18.3101804263722 0.451
"seed=92" 17.4163526969313 0.502
"seed=93" 25.3985901996819 0.488
"seed=94" 4.94712798816994 0.489
"seed=95" 12.4510076015318 0.466
"seed=96" 26.4220788144403 0.433
"seed=97" 5.69743003066396 0.485
"seed=98" 16.2487814023317 0.415
"seed=99" 17.0588611979859 0.536
"seed=100" 1.50613810957449 0.46
